Number, Time, Resource, NoOfElements, Type
0,47309,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,18775,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,36378,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,20158,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,34004,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,19115,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
6,32672,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
7,17353,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
0,82545,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,30367,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,46357,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,28423,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,44844,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,29295,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
6,40586,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
7,28443,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
0,41137,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,17863,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,35497,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,17954,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,34425,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,18505,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,41978,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,18605,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,33433,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,17573,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,34565,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,19506,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
0,39264,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,17021,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,33413,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,17192,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,33142,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,17664,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,3,Save
6,47569,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/model.arxml,8,Save
7,22974,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,6,Save
0,35657,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,19707,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,32311,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,24746,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
