Number, Time, Resource, NoOfElements, Type
0,46999,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,40797,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,40296,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,39675,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,89037,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,55664,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,56626,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,44093,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,52428,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,41979,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,42349,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,55203,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,49734,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,40406,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,45716,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,37490,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,37931,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,51606,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateDelegationSwConnector()/repetition%2031%20of%2031/model/Model.arxml,6,Save
0,44343,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,37280,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateProvidedPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,43061,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,37330,file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testCreateRequiredPortinCompositeSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
