Number, Time, Resource, NoOfElements, Type
0,51176,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,24556,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,50535,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,30568,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,44112,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
5,28102,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
0,96672,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,23945,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,56165,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,21520,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,52639,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,22372,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
6,43191,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/model.arxml,3,Save
7,22071,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
8,40145,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
9,19507,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
0,46417,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,57598,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,36478,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,18574,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
