Number, Time, Resource, NoOfElements, Type
0,94688,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,59923,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,49543,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
0,106730,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,63369,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,46918,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,48281,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
4,41989,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
0,89839,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,50605,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,59442,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,42539,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,40406,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,44043,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testCreateCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,51146,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,44324,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,37400,file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
