Number, Time, Resource, NoOfElements, Type
0,133701,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,40036,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,65302,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,27060,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,51607,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,26319,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/Model.arxml,3,Save
6,51717,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/model.arxml,3,Save
7,26039,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/Model.arxml,3,Save
8,46658,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/model.arxml,1,Save
9,23093,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2031%20of%2031/model/Model.arxml,1,Save
0,51887,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,22392,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,42680,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,22251,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,39824,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
5,20659,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteBlock()/repetition%2031%20of%2031/model/model.arxml,1,Save
0,55844,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,22883,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateBlock()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,42760,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,23324,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateBlock()/repetition%2031%20of%2031/model/model.arxml,2,Save
0,68289,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,23775,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,45555,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,22141,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,44985,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,22331,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/model.arxml,3,Save
6,43191,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/Model.arxml,3,Save
7,25949,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testCreateSubsystem()/repetition%2031%20of%2031/model/model.arxml,3,Save
0,55755,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,20799,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,41568,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,20649,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,37480,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/model.arxml,1,Save
5,18945,file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testDeleteSubsystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
