Number, Time, Resource, NoOfElements, Type
0,149411,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/model.arxml,1,Save
1,42129,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
2,150853,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/model.arxml,2,Save
3,44073,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
4,81553,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/model.arxml,3,Save
5,62988,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
6,129954,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/model.arxml,2,Save
7,46978,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,125145,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,36679,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/model.arxml,1,Save
2,76093,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
3,31639,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/model.arxml,2,Save
4,72887,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
5,38102,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/model.arxml,3,Save
