Number, Time, Resource, NoOfElements, Type
0,156073,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,106560,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,115637,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,84809,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,87214,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,78397,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,160612,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,123542,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteOutPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,84018,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteOutPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,77436,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteOutPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,80582,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteOutPortinSwComponent()/repetition%2031%20of%2031/model/Model.arxml,2,Save
0,112121,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,60954,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,67376,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,76464,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,54863,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,64190,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateInPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,125125,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,72627,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,61846,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,59031,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,4,Save
4,394221,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,5,Save
5,114205,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionFromBlockToOutPortBlock()/repetition%2031%20of%2031/model/Model.arxml,8,Save
0,150703,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,78367,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,72426,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateOutPortinSubSystem()/repetition%2031%20of%2031/model/Model.arxml,3,Save
0,94548,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,1,Save
1,64491,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,2,Save
2,57448,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,3,Save
3,49743,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,4,Save
4,54793,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,5,Save
5,70953,file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testCreateSingleConnectionBetweenTwoBlocks()/repetition%2031%20of%2031/model/Model.arxml,7,Save
