Number, Time, Resource, NoOfElements, Type
0,154861,file:/tmp/junit-529136778841293754/example.model2,1,Save
1,55294,file:/tmp/junit-529136778841293754/example.model,1,Save
2,180509,file:/tmp/junit-529136778841293754/example.model2,5,Save
3,95950,file:/tmp/junit-529136778841293754/example.model,5,Save
0,155883,file:/tmp/junit-4009059171563938911/example.model2,1,Save
1,49633,file:/tmp/junit-4009059171563938911/example.model,1,Save
2,98605,file:/tmp/junit-4009059171563938911/example.model2,2,Save
3,43491,file:/tmp/junit-4009059171563938911/example.model,2,Save
4,67396,file:/tmp/junit-4009059171563938911/example.model2,1,Save
5,39284,file:/tmp/junit-4009059171563938911/example.model,1,Save
0,116469,file:/tmp/junit-12027420763734194889/example.model2,1,Save
1,40817,file:/tmp/junit-12027420763734194889/example.model,1,Save
0,131156,file:/tmp/junit-6182073316896171181/example.model,1,Save
1,43652,file:/tmp/junit-6182073316896171181/example.model2,1,Save
0,99837,file:/tmp/junit-9344769229002125290/example.model2,1,Save
1,30197,file:/tmp/junit-9344769229002125290/example.model,1,Save
2,103594,file:/tmp/junit-9344769229002125290/example.model2,2,Save
3,1934263,file:/tmp/junit-9344769229002125290/example.model,2,Save
4,142387,file:/tmp/junit-9344769229002125290/example.model2,3,Save
5,71324,file:/tmp/junit-9344769229002125290/example.model,3,Save
0,114716,file:/tmp/junit-9353151039792412152/example.model2,1,Save
1,31880,file:/tmp/junit-9353151039792412152/example.model,1,Save
2,124634,file:/tmp/junit-9353151039792412152/example.model2,2,Save
3,34815,file:/tmp/junit-9353151039792412152/example.model,2,Save
0,104056,file:/tmp/junit-17172881724252903627/example.model,1,Save
1,28964,file:/tmp/junit-17172881724252903627/example.model2,1,Save
2,77575,file:/tmp/junit-17172881724252903627/example.model,2,Save
3,34625,file:/tmp/junit-17172881724252903627/example.model2,2,Save
4,85921,file:/tmp/junit-17172881724252903627/example.model,2,Save
5,31279,file:/tmp/junit-17172881724252903627/example.model2,2,Save
