Number, Time, Resource, NoOfElements, Type
0,147757,file:/tmp/junit-225410855380667267/example.model,1,Save
1,236394,file:/tmp/junit-225410855380667267/example.model,5,Save
0,149871,file:/tmp/junit-10413735760007268070/example.model,1,Save
1,119234,file:/tmp/junit-10413735760007268070/example.model,2,Save
2,81984,file:/tmp/junit-10413735760007268070/example.model,1,Save
0,98084,file:/tmp/junit-7736478875342401566/example.model,1,Save
0,152105,file:/tmp/junit-17579897795875453847/example.model,1,Save
0,90931,file:/tmp/junit-7297723971619795340/example.model,1,Save
1,107030,file:/tmp/junit-7297723971619795340/example.model,2,Save
2,102302,file:/tmp/junit-7297723971619795340/example.model,3,Save
0,74890,file:/tmp/junit-2460317060795209999/example.model,1,Save
1,93876,file:/tmp/junit-2460317060795209999/example.model,2,Save
0,79850,file:/tmp/junit-14775027150493270063/example.model,1,Save
1,72005,file:/tmp/junit-14775027150493270063/example.model,2,Save
2,61896,file:/tmp/junit-14775027150493270063/example.model,2,Save
