VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 6, 690713, 1, 1
61, 6, 1477948, 1, 2
62, 6, 1059765, 1, 2
63, 4, 577201, 1, 2
64, 6, 762348, 1, 1
65, 6, 385181, 1, 2
66, 6, 311203, 1, 2
67, 4, 340067, 1, 2
68, 6, 402093, 1, 1
69, 6, 295073, 1, 2
70, 6, 423203, 1, 2
71, 4, 450824, 1, 2
72, 6, 520746, 1, 1
73, 6, 269595, 1, 2
74, 6, 244929, 1, 2
75, 4, 215904, 1, 2
76, 6, 393166, 1, 1
77, 6, 227325, 1, 2
78, 6, 221275, 1, 2
79, 4, 177773, 1, 2
80, 6, 358942, 1, 1
81, 6, 259296, 1, 2
82, 6, 242364, 1, 2
83, 4, 239489, 1, 2
84, 6, 331711, 1, 1
85, 6, 200897, 1, 2
86, 6, 193302, 1, 2
87, 4, 179756, 1, 2
88, 6, 461654, 1, 1
89, 6, 241312, 1, 2
90, 6, 206758, 1, 2
91, 4, 423494, 1, 2
92, 6, 297738, 1, 1
93, 6, 266790, 1, 2
94, 6, 208971, 1, 2
95, 4, 205254, 1, 2
96, 6, 425367, 1, 1
97, 6, 319218, 1, 2
98, 6, 225162, 1, 2
99, 4, 159689, 1, 2
100, 6, 331150, 1, 1
101, 6, 203721, 1, 2
102, 6, 182141, 1, 2
103, 4, 160010, 1, 2
104, 6, 266870, 1, 1
105, 6, 184295, 1, 2
106, 6, 189535, 1, 2
107, 4, 187271, 1, 2
108, 6, 330639, 1, 1
109, 6, 196839, 1, 2
110, 6, 183123, 1, 2
111, 4, 176130, 1, 2
112, 6, 354503, 1, 1
113, 6, 298068, 1, 2
114, 6, 218649, 1, 2
115, 4, 166231, 1, 2
116, 6, 307226, 1, 1
117, 6, 254276, 1, 2
118, 6, 184245, 1, 2
119, 4, 229350, 1, 2
180, 6, 269094, 1, 1
181, 6, 193512, 1, 2
182, 6, 199744, 1, 2
183, 4, 153728, 1, 2
184, 6, 280014, 1, 1
185, 6, 183464, 1, 2
186, 6, 174076, 1, 2
187, 4, 166331, 1, 2
188, 6, 331561, 1, 1
189, 6, 577001, 1, 2
190, 6, 442479, 1, 2
191, 4, 394659, 1, 2
192, 6, 290153, 1, 1
193, 6, 181850, 1, 2
194, 6, 166402, 1, 2
195, 4, 160822, 1, 2
196, 6, 249467, 1, 1
197, 6, 321993, 1, 2
198, 6, 266609, 1, 2
199, 4, 155611, 1, 2
200, 6, 248846, 1, 1
201, 6, 180187, 1, 2
202, 6, 182161, 1, 2
203, 4, 172393, 1, 2
204, 6, 353282, 1, 1
205, 6, 368600, 1, 2
206, 6, 245470, 1, 2
207, 4, 216466, 1, 2
208, 6, 312726, 1, 1
209, 6, 212638, 1, 2
210, 6, 192090, 1, 2
211, 4, 148748, 1, 2
212, 6, 299832, 1, 1
213, 6, 312826, 1, 2
214, 6, 222447, 1, 2
215, 4, 183143, 1, 2
216, 6, 272230, 1, 1
217, 6, 171681, 1, 2
218, 6, 176941, 1, 2
219, 4, 147356, 1, 2
220, 6, 289251, 1, 1
221, 6, 389279, 1, 2
222, 6, 282540, 1, 2
223, 4, 222216, 1, 2
224, 6, 317855, 1, 1
225, 6, 196788, 1, 2
226, 6, 193953, 1, 2
227, 4, 164558, 1, 2
228, 6, 407163, 1, 1
229, 6, 230151, 1, 2
230, 6, 185167, 1, 2
231, 4, 248255, 1, 2
232, 6, 257873, 1, 1
233, 6, 178103, 1, 2
234, 6, 174737, 1, 2
235, 4, 149149, 1, 2
236, 6, 327173, 1, 1
237, 6, 283741, 1, 2
