VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
45, 9, 1364606, 2, 2
46, 9, 1001506, 2, 4
47, 6, 863758, 2, 4
48, 9, 1111031, 2, 2
49, 9, 888143, 2, 4
50, 6, 661690, 2, 4
51, 9, 1036832, 2, 2
52, 9, 1786125, 2, 4
53, 6, 562183, 2, 4
54, 9, 930473, 2, 2
55, 9, 737000, 2, 4
56, 6, 547696, 2, 4
57, 9, 935883, 2, 2
58, 9, 735488, 2, 4
59, 6, 694391, 2, 4
60, 9, 916868, 2, 2
61, 9, 1162317, 2, 4
62, 6, 715329, 2, 4
63, 9, 1262715, 2, 2
64, 9, 767217, 2, 4
65, 6, 503473, 2, 4
66, 9, 1138112, 2, 2
67, 9, 988271, 2, 4
68, 6, 449192, 2, 4
69, 9, 890458, 2, 2
70, 9, 792024, 2, 4
71, 6, 592820, 2, 4
72, 9, 902020, 2, 2
73, 9, 581750, 2, 4
74, 6, 475701, 2, 4
75, 9, 818893, 2, 2
76, 9, 1242116, 2, 4
77, 6, 685684, 2, 4
78, 9, 797583, 2, 2
79, 9, 518051, 2, 4
80, 6, 377086, 2, 4
81, 9, 1111562, 2, 2
82, 9, 625681, 2, 4
83, 6, 417452, 2, 4
84, 9, 941584, 2, 2
85, 9, 686936, 2, 4
86, 6, 531205, 2, 4
87, 9, 793196, 2, 2
88, 9, 529461, 2, 4
89, 6, 415558, 2, 4
165, 9, 1177466, 2, 2
166, 9, 842699, 2, 4
167, 9, 542336, 2, 4
168, 7, 426890, 2, 5
169, 11, 580357, 2, 6
170, 9, 936304, 2, 2
171, 9, 5508287, 2, 4
172, 9, 3411910, 2, 4
173, 7, 748502, 2, 5
174, 11, 599093, 2, 6
175, 9, 828421, 2, 2
176, 9, 967121, 2, 4
177, 9, 607378, 2, 4
178, 7, 477284, 2, 5
179, 11, 589795, 2, 6
180, 9, 958686, 2, 2
181, 9, 719327, 2, 4
182, 9, 548437, 2, 4
183, 7, 496811, 2, 5
184, 11, 606005, 2, 6
185, 9, 929982, 2, 2
186, 9, 1195419, 2, 4
187, 9, 984214, 2, 4
188, 7, 726351, 2, 5
189, 11, 586278, 2, 6
190, 9, 1580911, 2, 2
191, 9, 1322797, 2, 4
192, 9, 943277, 2, 4
193, 7, 571671, 2, 5
194, 11, 490268, 2, 6
195, 9, 719036, 2, 2
196, 9, 661830, 2, 4
197, 9, 454541, 2, 4
198, 7, 368430, 2, 5
199, 11, 380032, 2, 6
200, 9, 744464, 2, 2
201, 9, 564267, 2, 4
202, 9, 700953, 2, 4
203, 7, 577592, 2, 5
204, 11, 513933, 2, 6
205, 9, 907369, 2, 2
206, 9, 627716, 2, 4
207, 9, 473497, 2, 4
208, 7, 354614, 2, 5
209, 11, 357950, 2, 6
210, 9, 748812, 2, 2
211, 9, 469900, 2, 4
212, 9, 569126, 2, 4
213, 7, 405840, 2, 5
214, 11, 464740, 2, 6
215, 9, 1040078, 2, 2
216, 9, 556512, 2, 4
217, 9, 453580, 2, 4
218, 7, 442328, 2, 5
219, 11, 386735, 2, 6
220, 9, 693900, 2, 2
221, 9, 454100, 2, 4
222, 9, 379251, 2, 4
223, 7, 369372, 2, 5
224, 11, 429905, 2, 6
225, 9, 945652, 2, 2
226, 9, 566962, 2, 4
227, 9, 535784, 2, 4
228, 7, 550872, 2, 5
229, 11, 644548, 2, 6
230, 9, 763560, 2, 2
231, 9, 529912, 2, 4
232, 9, 477274, 2, 4
233, 7, 358442, 2, 5
234, 11, 356047, 2, 6
235, 9, 847067, 2, 2
236, 9, 643865, 2, 4
237, 9, 501299, 2, 4
238, 7, 441937, 2, 5
239, 11, 568746, 2, 6
270, 9, 786944, 2, 2
271, 9, 479699, 2, 4
272, 9, 769412, 2, 2
