VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 6, 356761, 1, 1
61, 6, 614997, 1, 2
62, 6, 617311, 1, 2
63, 6, 747055, 1, 2
64, 6, 471637, 1, 1
65, 6, 283653, 1, 2
66, 6, 250141, 1, 2
67, 6, 286720, 1, 2
68, 6, 359376, 1, 1
69, 6, 295807, 1, 2
70, 6, 290456, 1, 2
71, 6, 303311, 1, 2
72, 6, 390484, 1, 1
73, 6, 248096, 1, 2
74, 6, 225715, 1, 2
75, 6, 208873, 1, 2
76, 6, 343997, 1, 1
77, 6, 266581, 1, 2
78, 6, 349747, 1, 2
79, 6, 206829, 1, 2
80, 6, 339178, 1, 1
81, 6, 262944, 1, 2
82, 6, 187493, 1, 2
83, 6, 170340, 1, 2
84, 6, 309072, 1, 1
85, 6, 221978, 1, 2
86, 6, 261512, 1, 2
87, 6, 220966, 1, 2
88, 6, 351912, 1, 1
89, 6, 213372, 1, 2
90, 6, 349167, 1, 2
91, 6, 200397, 1, 2
92, 6, 408418, 1, 1
93, 6, 384152, 1, 2
94, 6, 379283, 1, 2
95, 6, 279886, 1, 2
96, 6, 331673, 1, 1
97, 6, 246243, 1, 2
98, 6, 223901, 1, 2
99, 6, 197231, 1, 2
100, 6, 400323, 1, 1
101, 6, 351802, 1, 2
102, 6, 316214, 1, 2
103, 6, 400654, 1, 2
104, 6, 322717, 1, 1
105, 6, 211988, 1, 2
106, 6, 257545, 1, 2
107, 6, 201820, 1, 2
108, 6, 377520, 1, 1
109, 6, 234781, 1, 2
110, 6, 254980, 1, 2
111, 6, 240102, 1, 2
112, 6, 379233, 1, 1
113, 6, 301868, 1, 2
114, 6, 242305, 1, 2
115, 6, 216417, 1, 2
116, 6, 384153, 1, 1
117, 6, 412325, 1, 2
118, 6, 274797, 1, 2
119, 6, 319902, 1, 2
165, 6, 341643, 1, 1
166, 6, 225054, 1, 2
167, 6, 237407, 1, 2
168, 6, 415101, 1, 1
169, 6, 292369, 1, 2
170, 6, 312989, 1, 2
171, 6, 621959, 1, 1
172, 6, 305915, 1, 2
173, 6, 260289, 1, 2
174, 6, 340630, 1, 1
175, 6, 521921, 1, 2
176, 6, 312577, 1, 2
177, 6, 380355, 1, 1
178, 6, 269347, 1, 2
179, 6, 221737, 1, 2
180, 6, 317437, 1, 1
181, 6, 264417, 1, 2
182, 6, 245041, 1, 2
183, 6, 434807, 1, 1
184, 6, 366710, 1, 2
185, 6, 301327, 1, 2
186, 6, 400433, 1, 1
187, 6, 232067, 1, 2
188, 6, 344078, 1, 2
189, 6, 438404, 1, 1
190, 6, 295065, 1, 2
191, 6, 272673, 1, 2
192, 6, 377710, 1, 1
193, 6, 224352, 1, 2
194, 6, 220504, 1, 2
195, 6, 321295, 1, 1
196, 6, 223310, 1, 2
197, 6, 219233, 1, 2
198, 6, 387539, 1, 1
199, 6, 232357, 1, 2
200, 6, 192692, 1, 2
201, 6, 437172, 1, 1
202, 6, 323098, 1, 2
203, 6, 311386, 1, 2
204, 6, 589629, 1, 1
205, 6, 324841, 1, 2
206, 6, 258206, 1, 2
207, 6, 304973, 1, 1
208, 6, 178566, 1, 2
209, 6, 178836, 1, 2
270, 6, 214273, 1, 1
271, 6, 160171, 1, 2
272, 6, 163708, 1, 2
273, 6, 140014, 1, 2
274, 6, 211959, 1, 1
275, 6, 156484, 1, 2
276, 6, 155212, 1, 2
277, 6, 173417, 1, 2
278, 6, 296408, 1, 1
279, 6, 291879, 1, 2
280, 6, 345520, 1, 2
281, 6, 278573, 1, 2
282, 6, 451389, 1, 1
283, 6, 265960, 1, 2
284, 6, 229512, 1, 2
285, 6, 203192, 1, 2
286, 6, 402036, 1, 1
287, 6, 224472, 1, 2
288, 6, 215735, 1, 2
289, 6, 189196, 1, 2
290, 6, 698494, 1, 1
291, 6, 326384, 1, 2
292, 6, 283043, 1, 2
293, 6, 215516, 1, 2
