VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
75, 9, 1011544, 2, 2
76, 9, 881411, 2, 4
77, 9, 675335, 2, 4
78, 9, 528630, 2, 6
79, 10, 517680, 2, 6
80, 9, 970809, 2, 2
81, 9, 640139, 2, 4
82, 9, 631504, 2, 4
83, 9, 539832, 2, 6
84, 10, 756678, 2, 6
85, 9, 1360609, 2, 2
86, 9, 991959, 2, 4
87, 9, 820397, 2, 4
88, 9, 671348, 2, 6
89, 10, 660427, 2, 6
90, 9, 1077278, 2, 2
91, 9, 843009, 2, 4
92, 9, 669985, 2, 4
93, 9, 674414, 2, 6
94, 10, 601768, 2, 6
95, 9, 1259660, 2, 2
96, 9, 803505, 2, 4
97, 9, 618018, 2, 4
98, 9, 628587, 2, 6
99, 10, 466284, 2, 6
100, 9, 830696, 2, 2
101, 9, 834844, 2, 4
102, 9, 528890, 2, 4
103, 9, 499236, 2, 6
104, 10, 452308, 2, 6
105, 9, 1070115, 2, 2
106, 9, 1081266, 2, 4
107, 9, 617877, 2, 4
108, 9, 600475, 2, 6
109, 10, 484918, 2, 6
110, 9, 886671, 2, 2
111, 9, 684052, 2, 4
112, 9, 677749, 2, 4
113, 9, 598912, 2, 6
114, 10, 621775, 2, 6
115, 9, 913030, 2, 2
116, 9, 984895, 2, 4
117, 9, 883144, 2, 4
118, 9, 778979, 2, 6
119, 10, 612217, 2, 6
120, 9, 865853, 2, 2
121, 9, 941353, 2, 4
122, 9, 1069614, 2, 4
123, 9, 715289, 2, 6
124, 10, 537547, 2, 6
125, 9, 896088, 2, 2
126, 9, 1049235, 2, 4
127, 9, 1009671, 2, 4
128, 9, 818253, 2, 6
129, 10, 656109, 2, 6
130, 9, 764993, 2, 2
131, 9, 827781, 2, 4
132, 9, 676728, 2, 4
133, 9, 582281, 2, 6
134, 10, 594003, 2, 6
135, 9, 929191, 2, 2
136, 9, 897080, 2, 4
137, 9, 707796, 2, 4
138, 9, 737171, 2, 6
139, 10, 529222, 2, 6
140, 9, 882082, 2, 2
141, 9, 810188, 2, 4
142, 9, 768630, 2, 4
143, 9, 662811, 2, 6
144, 10, 552325, 2, 6
145, 9, 881080, 2, 2
146, 9, 953627, 2, 4
147, 9, 922919, 2, 4
148, 9, 676567, 2, 6
149, 10, 573915, 2, 6
195, 9, 687278, 2, 2
196, 9, 485430, 2, 4
197, 6, 329818, 2, 4
198, 9, 675986, 2, 2
199, 9, 491861, 2, 4
200, 6, 418243, 2, 4
201, 9, 793066, 2, 2
202, 9, 415248, 2, 4
203, 6, 428543, 2, 4
204, 9, 709789, 2, 2
205, 9, 395912, 2, 4
206, 6, 335268, 2, 4
207, 9, 618829, 2, 2
208, 9, 511509, 2, 4
209, 6, 312696, 2, 4
210, 9, 724958, 2, 2
211, 9, 476763, 2, 4
212, 6, 293419, 2, 4
213, 9, 783729, 2, 2
214, 9, 440044, 2, 4
215, 6, 287619, 2, 4
216, 9, 785541, 2, 2
217, 9, 428252, 2, 4
218, 6, 358993, 2, 4
219, 9, 622867, 2, 2
220, 9, 411120, 2, 4
221, 6, 303098, 2, 4
222, 9, 678581, 2, 2
223, 9, 457116, 2, 4
224, 6, 329347, 2, 4
225, 9, 649697, 2, 2
226, 9, 488145, 2, 4
227, 6, 325290, 2, 4
228, 9, 1137501, 2, 2
229, 9, 699219, 2, 4
230, 6, 405149, 2, 4
231, 9, 759012, 2, 2
232, 9, 495418, 2, 4
233, 6, 359253, 2, 4
234, 9, 960880, 2, 2
235, 9, 475871, 2, 4
236, 6, 369983, 2, 4
237, 9, 805930, 2, 2
238, 9, 536265, 2, 4
239, 6, 404067, 2, 4
270, 9, 701444, 2, 2
271, 9, 661970, 2, 4
272, 9, 772657, 2, 2
273, 9, 512750, 2, 4
274, 9, 875641, 2, 2
275, 9, 744084, 2, 4
276, 9, 746058, 2, 2
277, 9, 476573, 2, 4
278, 9, 801572, 2, 2
279, 9, 700582, 2, 4
280, 9, 812722, 2, 2
281, 9, 709739, 2, 4
282, 9, 1238581, 2, 2
283, 9, 699290, 2, 4
284, 9, 845054, 2, 2
285, 9, 639428, 2, 4
286, 9, 842298, 2, 2
287, 9, 677078, 2, 4
288, 9, 943318, 2, 2
289, 9, 1084802, 2, 4
290, 9, 836226, 2, 2
291, 9, 566912, 2, 4
292, 9, 769341, 2, 2
293, 9, 808675, 2, 4
294, 9, 863427, 2, 2
295, 9, 645719, 2, 4
296, 9, 1031703, 2, 2
297, 9, 676277, 2, 4
298, 9, 734135, 2, 2
299, 9, 463248, 2, 4
360, 9, 966852, 2, 2
361, 9, 613399, 2, 4
362, 9, 493284, 2, 4
363, 9, 412603, 2, 6
364, 9, 821338, 2, 2
365, 9, 638907, 2, 4
366, 9, 518742, 2, 4
367, 9, 402514, 2, 6
368, 9, 818734, 2, 2
369, 9, 1693322, 2, 4
370, 9, 475230, 2, 4
371, 9, 754092, 2, 6
372, 9, 543828, 2, 2
373, 9, 413435, 2, 4
374, 9, 379581, 2, 4
375, 9, 327574, 2, 6
376, 9, 798155, 2, 2
377, 9, 542587, 2, 4
378, 9, 432571, 2, 4
379, 9, 347772, 2, 6
380, 9, 600245, 2, 2
381, 9, 482834, 2, 4
382, 9, 375033, 2, 4
383, 9, 384891, 2, 6
384, 9, 913862, 2, 2
385, 9, 435646, 2, 4
386, 9, 384991, 2, 4
387, 9, 356297, 2, 6
388, 9, 718205, 2, 2
389, 9, 730769, 2, 4
390, 9, 718826, 2, 4
391, 9, 555641, 2, 6
392, 9, 621675, 2, 2
393, 9, 378889, 2, 4
394, 9, 340829, 2, 4
395, 9, 371987, 2, 6
396, 9, 784750, 2, 2
397, 9, 493956, 2, 4
398, 9, 539862, 2, 4
399, 9, 376395, 2, 6
400, 9, 606195, 2, 2
401, 9, 431568, 2, 4
402, 9, 431739, 2, 4
403, 9, 437670, 2, 6
404, 9, 666829, 2, 2
405, 9, 425426, 2, 4
406, 9, 389470, 2, 4
407, 9, 355786, 2, 6
408, 9, 649347, 2, 2
409, 9, 429364, 2, 4
410, 9, 416100, 2, 4
411, 9, 428573, 2, 6
412, 9, 663843, 2, 2
413, 9, 526186, 2, 4
414, 9, 490819, 2, 4
415, 9, 390822, 2, 6
416, 9, 881641, 2, 2
417, 9, 707305, 2, 4
418, 9, 443701, 2, 4
419, 9, 355827, 2, 6
465, 9, 668001, 2, 2
466, 9, 542537, 2, 4
467, 6, 446727, 2, 4
468, 9, 730438, 2, 2
469, 9, 553497, 2, 4
470, 6, 397204, 2, 4
471, 9, 926456, 2, 2
472, 9, 837208, 2, 4
473, 6, 615884, 2, 4
474, 9, 621414, 2, 2
475, 9, 468247, 2, 4
476, 6, 324138, 2, 4
477, 9, 561712, 2, 2
478, 9, 541785, 2, 4
479, 6, 322254, 2, 4
480, 9, 554388, 2, 2
481, 9, 468047, 2, 4
482, 6, 340197, 2, 4
483, 9, 721432, 2, 2
484, 9, 502702, 2, 4
485, 6, 447138, 2, 4
486, 9, 636593, 2, 2
487, 9, 444653, 2, 4
488, 6, 358351, 2, 4
489, 9, 602889, 2, 2
490, 9, 537456, 2, 4
491, 6, 342441, 2, 4
492, 9, 574066, 2, 2
493, 9, 378369, 2, 4
494, 6, 313036, 2, 4
495, 9, 558456, 2, 2
496, 9, 520204, 2, 4
497, 6, 387246, 2, 4
498, 9, 765504, 2, 2
499, 9, 476252, 2, 4
500, 6, 351689, 2, 4
501, 9, 735748, 2, 2
502, 9, 474479, 2, 4
503, 6, 348803, 2, 4
504, 9, 663733, 2, 2
505, 9, 721993, 2, 4
506, 6, 364303, 2, 4
507, 9, 749705, 2, 2
508, 9, 666469, 2, 4
509, 6, 426739, 2, 4
