VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
75, 6, 587681, 1, 1
76, 6, 313677, 1, 2
77, 6, 269685, 1, 2
78, 6, 234259, 1, 3
79, 6, 205585, 1, 3
80, 6, 500067, 1, 1
81, 6, 277790, 1, 2
82, 6, 290874, 1, 2
83, 6, 235631, 1, 3
84, 6, 274283, 1, 3
85, 6, 521527, 1, 1
86, 6, 358711, 1, 2
87, 6, 324137, 1, 2
88, 6, 357570, 1, 3
89, 6, 269805, 1, 3
90, 6, 401071, 1, 1
91, 6, 257642, 1, 2
92, 6, 242203, 1, 2
93, 6, 252082, 1, 3
94, 6, 193452, 1, 3
95, 6, 423654, 1, 1
96, 6, 323176, 1, 2
97, 6, 281747, 1, 2
98, 6, 264766, 1, 3
99, 6, 169297, 1, 3
100, 6, 506318, 1, 1
101, 6, 351047, 1, 2
102, 6, 345948, 1, 2
103, 6, 416100, 1, 3
104, 6, 438411, 1, 3
105, 6, 638015, 1, 1
106, 6, 351097, 1, 2
107, 6, 286918, 1, 2
108, 6, 359623, 1, 3
109, 6, 369472, 1, 3
110, 6, 458268, 1, 1
111, 6, 279433, 1, 2
112, 6, 237635, 1, 2
113, 6, 226825, 1, 3
114, 6, 215774, 1, 3
115, 6, 427731, 1, 1
116, 6, 304600, 1, 2
117, 6, 284914, 1, 2
118, 6, 338845, 1, 3
119, 6, 229499, 1, 3
120, 6, 474068, 1, 1
121, 6, 406030, 1, 2
122, 6, 287127, 1, 2
123, 6, 254376, 1, 3
124, 6, 190437, 1, 3
125, 6, 375614, 1, 1
126, 6, 301835, 1, 2
127, 6, 243867, 1, 2
128, 6, 304159, 1, 3
129, 6, 196418, 1, 3
130, 6, 407333, 1, 1
131, 6, 320621, 1, 2
132, 6, 240160, 1, 2
133, 6, 252383, 1, 3
134, 6, 203240, 1, 3
135, 6, 471724, 1, 1
136, 6, 294752, 1, 2
137, 6, 272551, 1, 2
138, 6, 342532, 1, 3
139, 6, 241232, 1, 3
140, 6, 411611, 1, 1
141, 6, 220082, 1, 2
142, 6, 215785, 1, 2
143, 6, 316663, 1, 3
144, 6, 186629, 1, 3
145, 6, 503363, 1, 1
146, 6, 260809, 1, 2
147, 6, 225963, 1, 2
148, 6, 208590, 1, 3
149, 6, 160040, 1, 3
195, 6, 309370, 1, 1
196, 6, 179978, 1, 2
197, 4, 135724, 1, 2
198, 6, 315781, 1, 1
199, 6, 171511, 1, 2
200, 4, 233377, 1, 2
201, 6, 288721, 1, 1
202, 6, 190697, 1, 2
203, 4, 192611, 1, 2
204, 6, 289392, 1, 1
205, 6, 183113, 1, 2
206, 4, 141465, 1, 2
207, 6, 279263, 1, 1
208, 6, 274665, 1, 2
209, 4, 141525, 1, 2
210, 6, 347972, 1, 1
211, 6, 184625, 1, 2
212, 4, 154991, 1, 2
213, 6, 276738, 1, 1
214, 6, 235431, 1, 2
215, 4, 151784, 1, 2
216, 6, 436758, 1, 1
217, 6, 336110, 1, 2
218, 4, 208360, 1, 2
219, 6, 281106, 1, 1
220, 6, 219872, 1, 2
221, 4, 198132, 1, 2
222, 6, 299000, 1, 1
223, 6, 266850, 1, 2
224, 4, 214211, 1, 2
225, 6, 339426, 1, 1
226, 6, 263464, 1, 2
227, 4, 185357, 1, 2
228, 6, 270035, 1, 1
229, 6, 237605, 1, 2
230, 4, 151083, 1, 2
231, 6, 596377, 1, 1
232, 6, 214041, 1, 2
233, 4, 161081, 1, 2
234, 6, 297086, 1, 1
235, 6, 220142, 1, 2
236, 4, 159869, 1, 2
237, 6, 289412, 1, 1
238, 6, 180087, 1, 2
239, 4, 233607, 1, 2
270, 6, 234219, 1, 1
271, 6, 163086, 1, 2
272, 6, 395952, 1, 1
273, 6, 199704, 1, 2
274, 6, 301405, 1, 1
275, 6, 193924, 1, 2
276, 6, 278372, 1, 1
277, 6, 170089, 1, 2
278, 6, 228929, 1, 1
279, 6, 158156, 1, 2
280, 6, 262942, 1, 1
281, 6, 275767, 1, 2
282, 6, 326952, 1, 1
283, 6, 209072, 1, 2
284, 6, 274153, 1, 1
285, 6, 170359, 1, 2
286, 6, 244107, 1, 1
287, 6, 163266, 1, 2
288, 6, 233077, 1, 1
289, 6, 181930, 1, 2
290, 6, 283221, 1, 1
291, 6, 163416, 1, 2
292, 6, 244869, 1, 1
293, 6, 199484, 1, 2
294, 6, 239899, 1, 1
295, 6, 179476, 1, 2
296, 6, 284904, 1, 1
297, 6, 177363, 1, 2
298, 6, 246361, 1, 1
299, 6, 157185, 1, 2
360, 6, 346399, 1, 1
361, 6, 176681, 1, 2
362, 6, 214943, 1, 2
363, 6, 167594, 1, 3
364, 6, 284773, 1, 1
365, 6, 216596, 1, 2
366, 6, 264997, 1, 2
367, 6, 214652, 1, 3
368, 6, 264846, 1, 1
369, 6, 209703, 1, 2
370, 6, 195697, 1, 2
371, 6, 172664, 1, 3
372, 6, 335128, 1, 1
373, 6, 190477, 1, 2
374, 6, 188413, 1, 2
375, 6, 168837, 1, 3
376, 6, 273994, 1, 1
377, 6, 177041, 1, 2
378, 6, 230231, 1, 2
379, 6, 189104, 1, 3
380, 6, 296355, 1, 1
381, 6, 172994, 1, 2
382, 6, 157204, 1, 2
383, 6, 186409, 1, 3
384, 6, 283231, 1, 1
385, 6, 165500, 1, 2
386, 6, 147607, 1, 2
387, 6, 170689, 1, 3
388, 6, 280185, 1, 1
389, 6, 175599, 1, 2
390, 6, 187441, 1, 2
391, 6, 279894, 1, 3
392, 6, 273513, 1, 1
393, 6, 185838, 1, 2
394, 6, 157285, 1, 2
395, 6, 170520, 1, 3
396, 6, 292077, 1, 1
397, 6, 180127, 1, 2
398, 6, 160020, 1, 2
399, 6, 149439, 1, 3
400, 6, 229460, 1, 1
401, 6, 177984, 1, 2
402, 6, 173786, 1, 2
403, 6, 184465, 1, 3
404, 6, 287358, 1, 1
405, 6, 164708, 1, 2
406, 6, 154079, 1, 2
407, 6, 148799, 1, 3
408, 6, 299301, 1, 1
409, 6, 168105, 1, 2
410, 6, 227636, 1, 2
411, 6, 203271, 1, 3
412, 6, 284933, 1, 1
413, 6, 200005, 1, 2
414, 6, 155751, 1, 2
415, 6, 167634, 1, 3
416, 6, 289552, 1, 1
417, 6, 213069, 1, 2
418, 6, 172864, 1, 2
419, 6, 245099, 1, 3
465, 6, 268352, 1, 1
466, 6, 166542, 1, 2
467, 4, 244748, 1, 2
468, 6, 318186, 1, 1
469, 6, 195546, 1, 2
470, 4, 133761, 1, 2
471, 6, 264766, 1, 1
472, 6, 191198, 1, 2
473, 4, 133901, 1, 2
474, 6, 329377, 1, 1
475, 6, 302547, 1, 2
476, 4, 247193, 1, 2
477, 6, 332503, 1, 1
478, 6, 206467, 1, 2
479, 4, 153988, 1, 2
480, 6, 285896, 1, 1
481, 6, 210293, 1, 2
482, 4, 139171, 1, 2
483, 6, 315661, 1, 1
484, 6, 173565, 1, 2
485, 4, 142076, 1, 2
486, 6, 458479, 1, 1
487, 6, 170509, 1, 2
488, 4, 131496, 1, 2
489, 6, 367087, 1, 1
490, 6, 271448, 1, 2
491, 4, 207228, 1, 2
492, 6, 278892, 1, 1
493, 6, 159869, 1, 2
494, 4, 124123, 1, 2
495, 6, 191008, 1, 1
496, 6, 153317, 1, 2
497, 4, 124543, 1, 2
498, 6, 207629, 1, 1
499, 6, 223479, 1, 2
500, 4, 149821, 1, 2
501, 6, 224952, 1, 1
502, 6, 166392, 1, 2
503, 4, 136996, 1, 2
504, 6, 228428, 1, 1
505, 6, 182121, 1, 2
506, 4, 152836, 1, 2
507, 6, 314780, 1, 1
508, 6, 288861, 1, 2
509, 4, 136426, 1, 2
