VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
0,9,940907,2,2
1,9,741973,2,4
2,9,660249,2,4
3,8,621106,2,4
0,9,791396,2,2
1,9,490992,2,4
2,9,501712,2,4
0,9,745900,2,2
1,9,562075,2,4
2,9,818587,2,4
3,8,446738,2,4
0,9,629892,2,2
1,9,442891,2,4
2,9,495530,2,4
0,9,590930,2,2
1,9,425498,2,4
2,9,429937,2,4
0,9,592963,2,2
1,9,375525,2,4
2,9,298490,2,4
3,9,310703,2,4
4,6,216737,1,2
5,58,939774,2,16
0,9,573417,2,2
1,9,424527,2,4
2,9,415159,2,4
0,9,393077,2,2
1,9,264166,2,4
2,9,243647,2,4
3,9,304031,2,4
4,6,185598,1,2
5,46,602331,2,14
