VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
0,6,331412,1,1
1,6,240742,1,2
2,6,230332,1,2
3,6,187973,1,2
0,6,510568,1,1
1,6,247424,1,2
2,6,301356,1,2
0,6,315442,1,1
1,6,196649,1,2
2,6,226345,1,2
3,6,178385,1,2
0,6,330230,1,1
1,6,160913,1,2
2,6,174678,1,2
0,6,186901,1,1
1,6,151274,1,2
2,6,261400,1,2
0,6,316595,1,1
1,6,223500,1,2
2,6,190367,1,2
3,6,180479,1,2
4,6,170450,1,2
5,38,343685,1,8
0,6,320191,1,1
1,6,191600,1,2
2,6,199765,1,2
0,6,362440,1,1
1,6,212839,1,2
2,6,202320,1,2
3,6,183725,1,2
4,6,183725,1,2
5,30,305723,1,7
