VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
30, 6, 1168998, 2, 2
31, 41, 2429158, 2, 10
32, 6, 1173076, 2, 2
33, 41, 1796017, 2, 10
34, 6, 1095370, 2, 2
35, 41, 1521792, 2, 10
36, 6, 1167105, 2, 2
37, 41, 1817719, 2, 10
38, 6, 1094599, 2, 2
39, 41, 1843858, 2, 10
40, 6, 1134323, 2, 2
41, 41, 2131188, 2, 10
42, 6, 1532943, 2, 2
43, 41, 1800135, 2, 10
44, 6, 1290477, 2, 2
45, 41, 1485834, 2, 10
46, 6, 825763, 2, 2
47, 41, 1376308, 2, 10
48, 6, 886748, 2, 2
49, 41, 1517263, 2, 10
50, 6, 973010, 2, 2
51, 41, 2026311, 2, 10
52, 6, 888922, 2, 2
53, 41, 1267414, 2, 10
54, 6, 740873, 2, 2
55, 41, 1903109, 2, 10
56, 6, 1258727, 2, 2
57, 41, 1703663, 2, 10
58, 6, 4612885, 2, 2
59, 41, 1796268, 2, 10
105, 6, 793071, 2, 2
106, 9, 642779, 2, 4
107, 6, 426912, 2, 4
108, 6, 767783, 2, 2
109, 9, 581304, 2, 4
110, 6, 485814, 2, 4
111, 6, 717679, 2, 2
112, 9, 681252, 2, 4
113, 6, 520249, 2, 4
114, 6, 705436, 2, 2
115, 9, 668557, 2, 4
116, 6, 654150, 2, 4
117, 6, 1604377, 2, 2
118, 9, 1190489, 2, 4
119, 6, 734201, 2, 4
120, 6, 5601174, 2, 2
121, 9, 967750, 2, 4
122, 6, 489511, 2, 4
123, 6, 822887, 2, 2
124, 9, 656154, 2, 4
125, 6, 500932, 2, 4
126, 6, 640485, 2, 2
127, 9, 889693, 2, 4
128, 6, 505330, 2, 4
129, 6, 649792, 2, 2
130, 9, 601632, 2, 4
131, 6, 468411, 2, 4
132, 6, 601511, 2, 2
133, 9, 599618, 2, 4
134, 6, 511332, 2, 4
135, 6, 701099, 2, 2
136, 9, 850840, 2, 4
137, 6, 453573, 2, 4
138, 6, 632339, 2, 2
139, 9, 584269, 2, 4
140, 6, 496073, 2, 4
141, 6, 834470, 2, 2
142, 9, 596252, 2, 4
143, 6, 528644, 2, 4
144, 6, 613635, 2, 2
145, 9, 580212, 2, 4
146, 6, 467289, 2, 4
147, 6, 681601, 2, 2
148, 9, 662987, 2, 4
149, 6, 501102, 2, 4
165, 6, 858274, 2, 2
166, 6, 763576, 2, 2
167, 6, 619816, 2, 2
168, 6, 799373, 2, 2
169, 6, 684707, 2, 2
170, 6, 938695, 2, 2
171, 6, 1213562, 2, 2
172, 6, 700758, 2, 2
173, 6, 707190, 2, 2
174, 6, 747014, 2, 2
175, 6, 639152, 2, 2
176, 6, 669299, 2, 2
177, 6, 620768, 2, 2
178, 6, 614285, 2, 2
179, 6, 648530, 2, 2
195, 6, 1026099, 2, 2
196, 6, 957641, 2, 2
197, 6, 832075, 2, 2
198, 6, 833848, 2, 2
199, 6, 861780, 2, 2
200, 6, 922945, 2, 2
201, 6, 803361, 2, 2
202, 6, 781950, 2, 2
203, 6, 807268, 2, 2
204, 6, 835762, 2, 2
205, 6, 921573, 2, 2
206, 6, 755300, 2, 2
207, 6, 869465, 2, 2
208, 6, 778735, 2, 2
209, 6, 728170, 2, 2
255, 6, 1386537, 2, 2
256, 9, 1265500, 2, 4
257, 6, 740272, 2, 4
258, 6, 733600, 2, 2
259, 9, 655122, 2, 4
260, 6, 678746, 2, 4
261, 6, 685439, 2, 2
262, 9, 594558, 2, 4
263, 6, 488388, 2, 4
264, 6, 601541, 2, 2
265, 9, 739491, 2, 4
266, 6, 742346, 2, 4
267, 6, 707721, 2, 2
268, 9, 721417, 2, 4
269, 6, 720485, 2, 4
270, 6, 763556, 2, 2
271, 9, 911554, 2, 4
272, 6, 667475, 2, 4
273, 6, 777843, 2, 2
274, 9, 857312, 2, 4
275, 6, 801537, 2, 4
276, 6, 1026060, 2, 2
277, 9, 752425, 2, 4
278, 6, 1059122, 2, 4
279, 6, 869625, 2, 2
280, 9, 846482, 2, 4
281, 6, 929007, 2, 4
282, 6, 779906, 2, 2
283, 9, 1070874, 2, 4
284, 6, 891868, 2, 4
285, 6, 820834, 2, 2
286, 9, 875437, 2, 4
287, 6, 666634, 2, 4
288, 6, 661264, 2, 2
289, 9, 634042, 2, 4
290, 6, 688004, 2, 4
291, 6, 909580, 2, 2
292, 9, 721928, 2, 4
293, 6, 991545, 2, 4
294, 6, 770278, 2, 2
295, 9, 785117, 2, 4
296, 6, 756653, 2, 4
297, 6, 725444, 2, 2
298, 9, 650233, 2, 4
299, 6, 529245, 2, 4
330, 6, 538994, 2, 2
331, 9, 439907, 2, 4
332, 6, 669359, 2, 2
333, 9, 563660, 2, 4
334, 6, 636738, 2, 2
335, 9, 560173, 2, 4
336, 6, 528584, 2, 2
337, 9, 589058, 2, 4
338, 6, 446309, 2, 2
339, 9, 391386, 2, 4
340, 6, 522192, 2, 2
341, 9, 409821, 2, 4
342, 6, 388951, 2, 2
343, 9, 357031, 2, 4
344, 6, 482217, 2, 2
345, 9, 403770, 2, 4
346, 6, 510210, 2, 2
347, 9, 532001, 2, 4
348, 6, 477878, 2, 2
349, 9, 432423, 2, 4
350, 6, 522783, 2, 2
351, 9, 469693, 2, 4
352, 6, 546729, 2, 2
353, 9, 416463, 2, 4
354, 6, 469132, 2, 2
355, 9, 424508, 2, 4
356, 6, 444866, 2, 2
357, 9, 547990, 2, 4
358, 6, 623422, 2, 2
359, 9, 1872832, 2, 4
405, 6, 582235, 2, 2
406, 9, 465044, 2, 4
407, 15, 532622, 2, 6
408, 6, 609486, 2, 2
409, 9, 464624, 2, 4
410, 15, 562478, 2, 6
411, 6, 486014, 2, 2
412, 9, 464133, 2, 4
413, 15, 512855, 2, 6
414, 6, 565183, 2, 2
415, 9, 494099, 2, 4
416, 15, 699114, 2, 6
417, 6, 500300, 2, 2
418, 9, 417776, 2, 4
419, 15, 455126, 2, 6
420, 6, 611631, 2, 2
421, 9, 442292, 2, 4
422, 15, 478149, 2, 6
423, 6, 508776, 2, 2
424, 9, 462039, 2, 4
425, 15, 540797, 2, 6
426, 6, 486014, 2, 2
427, 9, 420491, 2, 4
428, 15, 477849, 2, 6
429, 6, 494099, 2, 2
430, 9, 523895, 2, 4
431, 15, 453603, 2, 6
432, 6, 494571, 2, 2
433, 9, 485483, 2, 4
434, 15, 505120, 2, 6
435, 6, 652898, 2, 2
436, 9, 488118, 2, 4
437, 15, 652948, 2, 6
438, 6, 549965, 2, 2
439, 9, 471627, 2, 4
440, 15, 784035, 2, 6
441, 6, 640936, 2, 2
442, 9, 552359, 2, 4
443, 15, 514397, 2, 6
444, 6, 535828, 2, 2
445, 9, 560945, 2, 4
446, 15, 449365, 2, 6
447, 6, 443564, 2, 2
448, 9, 377911, 2, 4
449, 15, 438214, 2, 6
