VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
30, 4, 727558, 1, 1
31, 28, 1509439, 1, 5
32, 4, 792731, 1, 1
33, 28, 989822, 1, 5
34, 4, 768085, 1, 1
35, 28, 1021651, 1, 5
36, 4, 765360, 1, 1
37, 28, 996054, 1, 5
38, 4, 789886, 1, 1
39, 28, 932555, 1, 5
40, 4, 713302, 1, 1
41, 28, 857783, 1, 5
42, 4, 603405, 1, 1
43, 28, 753938, 1, 5
44, 4, 488329, 1, 1
45, 28, 619295, 1, 5
46, 4, 585812, 1, 1
47, 28, 642799, 1, 5
48, 4, 574911, 1, 1
49, 28, 608374, 1, 5
50, 4, 952502, 1, 1
51, 28, 763697, 1, 5
52, 4, 771702, 1, 1
53, 28, 1304413, 1, 5
54, 4, 501483, 1, 1
55, 28, 629614, 1, 5
56, 4, 751083, 1, 1
57, 28, 925301, 1, 5
58, 4, 581985, 1, 1
59, 28, 638882, 1, 5
105, 4, 477328, 1, 1
106, 6, 353875, 1, 2
107, 4, 244019, 1, 2
108, 4, 329870, 1, 1
109, 6, 310805, 1, 2
110, 4, 4173752, 1, 2
111, 4, 490343, 1, 1
112, 6, 393521, 1, 2
113, 4, 307559, 1, 2
114, 4, 331504, 1, 1
115, 6, 302369, 1, 2
116, 4, 269798, 1, 2
117, 4, 384814, 1, 1
118, 6, 352653, 1, 2
119, 4, 264848, 1, 2
120, 4, 342133, 1, 1
121, 6, 316525, 1, 2
122, 4, 325603, 1, 2
123, 4, 345971, 1, 1
124, 6, 297099, 1, 2
125, 4, 283793, 1, 2
126, 4, 348395, 1, 1
127, 6, 530468, 1, 2
128, 4, 258867, 1, 2
129, 4, 313920, 1, 1
130, 6, 302288, 1, 2
131, 4, 247496, 1, 2
132, 4, 345500, 1, 1
133, 6, 291658, 1, 2
134, 4, 238138, 1, 2
135, 4, 331053, 1, 1
136, 6, 363564, 1, 2
137, 4, 296237, 1, 2
138, 4, 375948, 1, 1
139, 6, 311115, 1, 2
140, 4, 248798, 1, 2
141, 4, 394973, 1, 1
142, 6, 346492, 1, 2
143, 4, 301968, 1, 2
144, 4, 471928, 1, 1
145, 6, 398229, 1, 2
146, 4, 286830, 1, 2
147, 4, 442652, 1, 1
148, 6, 367912, 1, 2
149, 4, 304012, 1, 2
165, 4, 630807, 1, 1
166, 4, 427154, 1, 1
167, 4, 308440, 1, 1
168, 4, 336313, 1, 1
169, 4, 336212, 1, 1
170, 4, 304734, 1, 1
171, 4, 376268, 1, 1
172, 4, 455426, 1, 1
173, 4, 5758402, 1, 1
174, 4, 485123, 1, 1
175, 4, 376638, 1, 1
176, 4, 613554, 1, 1
177, 4, 532802, 1, 1
178, 4, 420972, 1, 1
179, 4, 383641, 1, 1
195, 4, 510961, 1, 1
196, 4, 356902, 1, 1
197, 4, 340340, 1, 1
198, 4, 368403, 1, 1
199, 4, 384653, 1, 1
200, 4, 372069, 1, 1
201, 4, 399802, 1, 1
202, 4, 400323, 1, 1
203, 4, 418377, 1, 1
204, 4, 378562, 1, 1
205, 4, 327687, 1, 1
206, 4, 319300, 1, 1
207, 4, 377891, 1, 1
208, 4, 359967, 1, 1
209, 4, 396837, 1, 1
255, 4, 831945, 1, 1
256, 6, 590280, 1, 2
257, 4, 516121, 1, 2
258, 4, 423357, 1, 1
259, 6, 386367, 1, 2
260, 4, 319832, 1, 2
261, 4, 324491, 1, 1
262, 6, 313059, 1, 2
263, 4, 297860, 1, 2
264, 4, 372501, 1, 1
265, 6, 297530, 1, 2
266, 4, 299874, 1, 2
267, 4, 335782, 1, 1
268, 6, 280288, 1, 2
269, 4, 309332, 1, 2
270, 4, 389774, 1, 1
271, 6, 322227, 1, 2
272, 4, 274497, 1, 2
273, 4, 342925, 1, 1
274, 6, 275598, 1, 2
275, 4, 245271, 1, 2
276, 4, 290787, 1, 1
277, 6, 290035, 1, 2
278, 4, 281159, 1, 2
279, 4, 324992, 1, 1
280, 6, 308481, 1, 2
281, 4, 277312, 1, 2
282, 4, 317467, 1, 1
283, 6, 319441, 1, 2
284, 4, 263947, 1, 2
285, 4, 337515, 1, 1
286, 6, 388781, 1, 2
287, 4, 336473, 1, 2
288, 4, 339238, 1, 1
289, 6, 330592, 1, 2
290, 4, 340631, 1, 2
291, 4, 376849, 1, 1
292, 6, 461037, 1, 2
293, 4, 335401, 1, 2
294, 4, 402047, 1, 1
295, 6, 407346, 1, 2
296, 4, 375526, 1, 2
297, 4, 397317, 1, 1
298, 6, 352834, 1, 2
299, 4, 344668, 1, 2
330, 4, 303831, 1, 1
331, 6, 275769, 1, 2
332, 4, 329590, 1, 1
333, 6, 260540, 1, 2
334, 4, 368624, 1, 1
335, 6, 263556, 1, 2
336, 4, 293722, 1, 1
337, 6, 273785, 1, 2
338, 4, 293782, 1, 1
339, 6, 283273, 1, 2
340, 4, 318609, 1, 1
341, 6, 391928, 1, 2
342, 4, 272302, 1, 1
343, 6, 292791, 1, 2
344, 4, 282962, 1, 1
345, 6, 250721, 1, 2
346, 4, 271711, 1, 1
347, 6, 255741, 1, 2
348, 4, 414751, 1, 1
349, 6, 254258, 1, 2
350, 4, 242737, 1, 1
351, 6, 252385, 1, 2
352, 4, 283032, 1, 1
353, 6, 244169, 1, 2
354, 4, 260520, 1, 1
355, 6, 252565, 1, 2
356, 4, 254609, 1, 1
357, 6, 243138, 1, 2
358, 4, 256843, 1, 1
359, 6, 230574, 1, 2
405, 4, 229531, 1, 1
406, 6, 216878, 1, 2
407, 10, 219233, 1, 3
408, 4, 228459, 1, 1
409, 6, 449907, 1, 2
410, 10, 228711, 1, 3
411, 4, 224492, 1, 1
412, 6, 310885, 1, 2
413, 10, 368543, 1, 3
414, 4, 359507, 1, 1
415, 6, 348405, 1, 2
416, 10, 490372, 1, 3
417, 4, 274135, 1, 1
418, 6, 401826, 1, 2
419, 10, 227679, 1, 3
420, 4, 256954, 1, 1
421, 6, 423046, 1, 2
422, 10, 259819, 1, 3
423, 4, 499229, 1, 1
424, 6, 306717, 1, 2
425, 10, 243528, 1, 3
426, 4, 334429, 1, 1
427, 6, 239691, 1, 2
428, 10, 247505, 1, 3
429, 4, 559212, 1, 1
430, 6, 363073, 1, 2
431, 10, 235723, 1, 3
432, 4, 218902, 1, 1
433, 6, 192573, 1, 2
434, 10, 229451, 1, 3
435, 4, 275698, 1, 1
436, 6, 218451, 1, 2
437, 10, 235653, 1, 3
438, 4, 439006, 1, 1
439, 6, 249910, 1, 2
440, 10, 239371, 1, 3
441, 4, 400363, 1, 1
442, 6, 312919, 1, 2
443, 10, 270209, 1, 3
444, 4, 288914, 1, 1
445, 6, 247376, 1, 2
446, 10, 239761, 1, 3
447, 4, 307008, 1, 1
448, 6, 273214, 1, 2
449, 10, 420671, 1, 3
