Number, Time, Resource, NoOfElements, Type
60, 83483, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
61, 69928, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
62, 49572, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 3, Save
63, 55842, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
64, 58357, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
65, 46476, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
66, 41567, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 3, Save
67, 40494, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
68, 62084, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
69, 46476, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
70, 43179, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 3, Save
71, 41316, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
72, 64428, file:/tmp/Vitruv/AutoSARtoSimuLinkPortTest/testDeleteRequiredPortinSwComponent()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
