Number, Time, Resource, NoOfElements, Type
90, 164368, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/model.arxml, 1, Save
91, 36549, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
92, 123261, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/model.arxml, 2, Save
93, 67046, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
94, 109666, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/model.arxml, 1, Save
95, 34735, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
96, 127339, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/model.arxml, 1, Save
97, 33703, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
98, 117751, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/model.arxml, 2, Save
99, 42399, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
100, 87043, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/model.arxml, 1, Save
101, 37650, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
102, 140553, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/model.arxml, 1, Save
103, 47509, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
104, 121868, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/model.arxml, 2, Save
105, 45225, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
106, 73237, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/model.arxml, 1, Save
107, 63579, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
108, 121307, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/model.arxml, 1, Save
109, 34404, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
110, 81142, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/model.arxml, 2, Save
111, 38482, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
112, 70993, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/model.arxml, 1, Save
113, 29946, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
114, 113492, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
115, 34715, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/model.arxml, 1, Save
116, 93034, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 2, Save
117, 41238, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/model.arxml, 2, Save
118, 111318, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
119, 38693, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/model.arxml, 1, Save
120, 110136, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
121, 34915, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/model.arxml, 1, Save
122, 87134, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 2, Save
123, 36678, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/model.arxml, 2, Save
124, 95920, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
125, 35617, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/model.arxml, 1, Save
126, 121117, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
127, 35276, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/model.arxml, 1, Save
128, 81101, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 2, Save
129, 40556, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/model.arxml, 2, Save
130, 54902, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
131, 38593, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/model.arxml, 1, Save
132, 136015, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
133, 41398, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/model.arxml, 1, Save
134, 157335, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 2, Save
135, 38572, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/model.arxml, 2, Save
136, 58650, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
137, 33613, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/model.arxml, 1, Save
138, 107872, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/model.arxml, 1, Save
139, 37130, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
140, 76834, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/model.arxml, 2, Save
141, 35868, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 2, Save
142, 81843, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/model.arxml, 1, Save
143, 35646, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
144, 115717, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/model.arxml, 1, Save
145, 32851, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
146, 69931, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/model.arxml, 2, Save
147, 33503, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 2, Save
148, 53149, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/model.arxml, 1, Save
149, 30186, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
150, 105287, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2026%20of%2030/model/model.arxml, 1, Save
151, 34494, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
