Number, Time, Resource, NoOfElements, Type
45, 93832, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
46, 62375, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
47, 59239, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
48, 78043, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
49, 50112, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
50, 45784, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
51, 83834, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
52, 50763, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
53, 41155, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
54, 77572, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
55, 51154, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
56, 42608, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
57, 78174, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
58, 52106, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 2, Save
59, 46045, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
60, 72433, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
61, 52176, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 2, Save
62, 40765, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
63, 66252, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
64, 66882, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 2, Save
65, 42308, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
66, 105694, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
67, 45694, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 2, Save
68, 41386, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
69, 84656, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
70, 62535, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 2, Save
71, 49711, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
72, 93341, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
73, 54560, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 2, Save
74, 42357, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
75, 95666, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
76, 51034, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2026%20of%2030/model/Model.arxml, 2, Save
77, 41927, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
78, 53809, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2027%20of%2030/model/Model.arxml, 1, Save
79, 55201, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2027%20of%2030/model/Model.arxml, 2, Save
80, 42608, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2027%20of%2030/model/Model.arxml, 1, Save
81, 60731, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
82, 46806, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2028%20of%2030/model/Model.arxml, 2, Save
83, 41937, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
84, 81650, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
85, 67584, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2029%20of%2030/model/Model.arxml, 2, Save
86, 48900, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
87, 83083, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
88, 56383, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2030%20of%2030/model/Model.arxml, 2, Save
89, 42718, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteComponent()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
165, 61784, file:/tmp/Vitruv/AutoSARtoSimuLinkSwComponentTest/testDeleteCompositeComponentAndCheckContainedAtomicComponent()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
