Number, Time, Resource, NoOfElements, Type
75, 142743, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
76, 134988, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
77, 63978, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2016%20of%2030/model/Model.arxml, 3, Save
78, 69938, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2016%20of%2030/model/Model.arxml, 3, Save
79, 54079, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
80, 98731, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
81, 70840, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
82, 47517, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2017%20of%2030/model/Model.arxml, 3, Save
83, 46626, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2017%20of%2030/model/Model.arxml, 3, Save
84, 43460, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
85, 75338, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
86, 53919, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
87, 47137, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2018%20of%2030/model/Model.arxml, 3, Save
88, 46636, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2018%20of%2030/model/Model.arxml, 3, Save
89, 50092, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
90, 105303, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
91, 63877, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
92, 59780, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2019%20of%2030/model/Model.arxml, 3, Save
93, 67604, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2019%20of%2030/model/Model.arxml, 3, Save
94, 50643, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
95, 113899, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
96, 62515, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2020%20of%2030/model/Model.arxml, 2, Save
97, 72143, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2020%20of%2030/model/Model.arxml, 3, Save
98, 57636, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2020%20of%2030/model/Model.arxml, 3, Save
99, 60983, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
100, 104703, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
101, 66933, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2021%20of%2030/model/Model.arxml, 2, Save
102, 66873, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2021%20of%2030/model/Model.arxml, 3, Save
103, 47908, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2021%20of%2030/model/Model.arxml, 3, Save
104, 41246, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
105, 101386, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
106, 56654, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2022%20of%2030/model/Model.arxml, 2, Save
107, 56724, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2022%20of%2030/model/Model.arxml, 3, Save
108, 61323, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2022%20of%2030/model/Model.arxml, 3, Save
109, 104021, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
110, 85196, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
111, 54811, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2023%20of%2030/model/Model.arxml, 2, Save
112, 51334, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2023%20of%2030/model/Model.arxml, 3, Save
113, 47777, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2023%20of%2030/model/Model.arxml, 3, Save
114, 44873, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2023%20of%2030/model/Model.arxml, 1, Save
115, 120161, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
116, 99453, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2024%20of%2030/model/Model.arxml, 2, Save
117, 46085, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2024%20of%2030/model/Model.arxml, 3, Save
118, 78314, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2024%20of%2030/model/Model.arxml, 3, Save
119, 91549, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2024%20of%2030/model/Model.arxml, 1, Save
120, 94073, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
121, 96498, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2025%20of%2030/model/Model.arxml, 2, Save
122, 48218, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2025%20of%2030/model/Model.arxml, 3, Save
123, 45734, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2025%20of%2030/model/Model.arxml, 3, Save
124, 48009, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2025%20of%2030/model/Model.arxml, 1, Save
125, 64839, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
126, 46686, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2026%20of%2030/model/Model.arxml, 2, Save
127, 54160, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2026%20of%2030/model/Model.arxml, 3, Save
128, 46475, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2026%20of%2030/model/Model.arxml, 3, Save
129, 40344, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2026%20of%2030/model/Model.arxml, 1, Save
130, 89695, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2027%20of%2030/model/Model.arxml, 1, Save
131, 71522, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2027%20of%2030/model/Model.arxml, 2, Save
132, 48399, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2027%20of%2030/model/Model.arxml, 3, Save
133, 51905, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2027%20of%2030/model/Model.arxml, 3, Save
134, 44472, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2027%20of%2030/model/Model.arxml, 1, Save
135, 76220, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
136, 52296, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 2, Save
137, 46025, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 3, Save
138, 47357, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 3, Save
139, 45093, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2028%20of%2030/model/Model.arxml, 1, Save
140, 94684, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
141, 61203, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 2, Save
142, 52246, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 3, Save
143, 52066, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 3, Save
144, 45834, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2029%20of%2030/model/Model.arxml, 1, Save
145, 71952, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 1, Save
146, 58026, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 2, Save
147, 55282, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 3, Save
148, 48049, file:/tmp/Vitruv/SimuLinkToAutoSARBlockTest/testSubSystemAndCheckContainedBlocks()/repetition%2030%20of%2030/model/Model.arxml, 3, Save
