Number, Time, Resource, NoOfElements, Type
60, 169351, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2016%20of%2030/model/Model.arxml, 1, Save
61, 119810, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
62, 161507, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2016%20of%2030/model/Model.arxml, 3, Save
63, 148002, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2016%20of%2030/model/Model.arxml, 2, Save
64, 139326, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2017%20of%2030/model/Model.arxml, 1, Save
65, 91358, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
66, 228059, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2017%20of%2030/model/Model.arxml, 3, Save
67, 143584, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2017%20of%2030/model/Model.arxml, 2, Save
68, 178549, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2018%20of%2030/model/Model.arxml, 1, Save
69, 200879, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
70, 159212, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2018%20of%2030/model/Model.arxml, 3, Save
71, 185741, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2018%20of%2030/model/Model.arxml, 2, Save
72, 141109, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2019%20of%2030/model/Model.arxml, 1, Save
73, 97820, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
74, 91057, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2019%20of%2030/model/Model.arxml, 3, Save
75, 79787, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2019%20of%2030/model/Model.arxml, 2, Save
76, 150647, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2020%20of%2030/model/Model.arxml, 1, Save
77, 236735, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2020%20of%2030/model/Model.arxml, 2, Save
78, 118247, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2020%20of%2030/model/Model.arxml, 3, Save
79, 115342, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2020%20of%2030/model/Model.arxml, 2, Save
80, 219955, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2021%20of%2030/model/Model.arxml, 1, Save
81, 136451, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2021%20of%2030/model/Model.arxml, 2, Save
82, 115041, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2021%20of%2030/model/Model.arxml, 3, Save
83, 81720, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2021%20of%2030/model/Model.arxml, 2, Save
84, 133886, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2022%20of%2030/model/Model.arxml, 1, Save
85, 93802, file:/tmp/Vitruv/SimuLinkToAutoSARPortTest/testDeleteInPortinBlock()/repetition%2022%20of%2030/model/Model.arxml, 2, Save
