Number, Time, Resource, NoOfElements, Type
60, 221658, file:/tmp/junit-12234763293291169040/example.model2, 1, Save
61, 138104, file:/tmp/junit-12234763293291169040/example.model, 1, Save
62, 650416, file:/tmp/junit-12234763293291169040/example.model2, 5, Save
63, 615571, file:/tmp/junit-12234763293291169040/example.model, 5, Save
64, 184589, file:/tmp/junit-9585729363164330569/example.model2, 1, Save
65, 88934, file:/tmp/junit-9585729363164330569/example.model, 1, Save
66, 261571, file:/tmp/junit-9585729363164330569/example.model2, 5, Save
67, 147622, file:/tmp/junit-9585729363164330569/example.model, 5, Save
68, 163782, file:/tmp/junit-17852574811045057530/example.model, 1, Save
69, 103942, file:/tmp/junit-17852574811045057530/example.model2, 1, Save
70, 288510, file:/tmp/junit-17852574811045057530/example.model, 5, Save
71, 125991, file:/tmp/junit-17852574811045057530/example.model2, 5, Save
72, 142903, file:/tmp/junit-6543058821797916763/example.model2, 1, Save
73, 100415, file:/tmp/junit-6543058821797916763/example.model, 1, Save
74, 293850, file:/tmp/junit-6543058821797916763/example.model2, 5, Save
75, 111986, file:/tmp/junit-6543058821797916763/example.model, 5, Save
76, 189128, file:/tmp/junit-5382309445382460265/example.model, 1, Save
77, 79316, file:/tmp/junit-5382309445382460265/example.model2, 1, Save
78, 383185, file:/tmp/junit-5382309445382460265/example.model, 5, Save
79, 133065, file:/tmp/junit-5382309445382460265/example.model2, 5, Save
80, 164382, file:/tmp/junit-8052475294931572631/example.model2, 1, Save
81, 68907, file:/tmp/junit-8052475294931572631/example.model, 1, Save
82, 260318, file:/tmp/junit-8052475294931572631/example.model2, 5, Save
83, 137142, file:/tmp/junit-8052475294931572631/example.model, 5, Save
84, 172096, file:/tmp/junit-10081450546200881572/example.model2, 1, Save
85, 233248, file:/tmp/junit-10081450546200881572/example.model, 1, Save
86, 337120, file:/tmp/junit-10081450546200881572/example.model2, 5, Save
87, 104562, file:/tmp/junit-10081450546200881572/example.model, 5, Save
88, 235794, file:/tmp/junit-17055007843781086802/example.model, 1, Save
89, 95596, file:/tmp/junit-17055007843781086802/example.model2, 1, Save
90, 268513, file:/tmp/junit-17055007843781086802/example.model, 5, Save
91, 129127, file:/tmp/junit-17055007843781086802/example.model2, 5, Save
92, 152350, file:/tmp/junit-11531811435525825962/example.model, 1, Save
93, 180662, file:/tmp/junit-11531811435525825962/example.model2, 1, Save
94, 194418, file:/tmp/junit-11531811435525825962/example.model, 5, Save
95, 84235, file:/tmp/junit-11531811435525825962/example.model2, 5, Save
96, 132082, file:/tmp/junit-8482671366575038095/example.model2, 1, Save
97, 58918, file:/tmp/junit-8482671366575038095/example.model, 1, Save
98, 158672, file:/tmp/junit-8482671366575038095/example.model2, 5, Save
99, 91027, file:/tmp/junit-8482671366575038095/example.model, 5, Save
100, 103430, file:/tmp/junit-549861437752052738/example.model, 1, Save
101, 69939, file:/tmp/junit-549861437752052738/example.model2, 1, Save
102, 234691, file:/tmp/junit-549861437752052738/example.model, 5, Save
103, 84175, file:/tmp/junit-549861437752052738/example.model2, 5, Save
104, 154494, file:/tmp/junit-2783835414602229822/example.model2, 1, Save
105, 66593, file:/tmp/junit-2783835414602229822/example.model, 1, Save
106, 156858, file:/tmp/junit-2783835414602229822/example.model2, 5, Save
107, 88182, file:/tmp/junit-2783835414602229822/example.model, 5, Save
108, 96097, file:/tmp/junit-15628685115164822715/example.model2, 1, Save
109, 62986, file:/tmp/junit-15628685115164822715/example.model, 1, Save
110, 147932, file:/tmp/junit-15628685115164822715/example.model2, 5, Save
111, 79736, file:/tmp/junit-15628685115164822715/example.model, 5, Save
112, 375290, file:/tmp/junit-7642195603384434093/example.model2, 1, Save
113, 77874, file:/tmp/junit-7642195603384434093/example.model, 1, Save
114, 341108, file:/tmp/junit-7642195603384434093/example.model2, 5, Save
115, 106195, file:/tmp/junit-7642195603384434093/example.model, 5, Save
116, 161847, file:/tmp/junit-17290012584542824423/example.model2, 1, Save
117, 59339, file:/tmp/junit-17290012584542824423/example.model, 1, Save
118, 4314343, file:/tmp/junit-17290012584542824423/example.model2, 5, Save
119, 217791, file:/tmp/junit-17290012584542824423/example.model, 5, Save
210, 111735, file:/tmp/junit-2761624801973057529/example.model2, 1, Save
211, 47838, file:/tmp/junit-2761624801973057529/example.model, 1, Save
212, 121594, file:/tmp/junit-2761624801973057529/example.model2, 2, Save
213, 62484, file:/tmp/junit-2761624801973057529/example.model, 2, Save
214, 66813, file:/tmp/junit-2761624801973057529/example.model2, 1, Save
215, 45274, file:/tmp/junit-2761624801973057529/example.model, 1, Save
216, 109441, file:/tmp/junit-11383716450073694654/example.model, 1, Save
217, 50743, file:/tmp/junit-11383716450073694654/example.model2, 1, Save
218, 103941, file:/tmp/junit-11383716450073694654/example.model, 2, Save
219, 50713, file:/tmp/junit-11383716450073694654/example.model2, 2, Save
220, 87010, file:/tmp/junit-11383716450073694654/example.model, 1, Save
221, 46735, file:/tmp/junit-11383716450073694654/example.model2, 1, Save
222, 133856, file:/tmp/junit-4016290735088222219/example.model, 1, Save
223, 50363, file:/tmp/junit-4016290735088222219/example.model2, 1, Save
224, 109351, file:/tmp/junit-4016290735088222219/example.model, 2, Save
225, 58948, file:/tmp/junit-4016290735088222219/example.model2, 2, Save
226, 72133, file:/tmp/junit-4016290735088222219/example.model, 1, Save
227, 43440, file:/tmp/junit-4016290735088222219/example.model2, 1, Save
228, 114220, file:/tmp/junit-18223773620894400352/example.model, 1, Save
229, 48278, file:/tmp/junit-18223773620894400352/example.model2, 1, Save
230, 94805, file:/tmp/junit-18223773620894400352/example.model, 2, Save
231, 50122, file:/tmp/junit-18223773620894400352/example.model2, 2, Save
232, 93431, file:/tmp/junit-18223773620894400352/example.model, 1, Save
233, 53990, file:/tmp/junit-18223773620894400352/example.model2, 1, Save
234, 116584, file:/tmp/junit-13598990066744446783/example.model2, 1, Save
235, 47427, file:/tmp/junit-13598990066744446783/example.model, 1, Save
236, 160585, file:/tmp/junit-13598990066744446783/example.model2, 2, Save
237, 51234, file:/tmp/junit-13598990066744446783/example.model, 2, Save
238, 124469, file:/tmp/junit-13598990066744446783/example.model2, 1, Save
