VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 9, 1132791, 2, 2
61, 9, 1205518, 2, 4
62, 9, 1068762, 2, 4
63, 7, 845373, 2, 4
64, 9, 1127852, 2, 2
65, 9, 802804, 2, 4
66, 9, 738473, 2, 4
67, 7, 832570, 2, 4
68, 9, 1093939, 2, 2
69, 9, 771516, 2, 4
70, 9, 968133, 2, 4
71, 7, 984174, 2, 4
72, 9, 887091, 2, 2
73, 9, 690132, 2, 4
74, 9, 660106, 2, 4
75, 7, 478246, 2, 4
76, 9, 1030560, 2, 2
77, 9, 753963, 2, 4
78, 9, 610994, 2, 4
79, 7, 548798, 2, 4
80, 9, 1150125, 2, 2
81, 9, 679423, 2, 4
82, 9, 590546, 2, 4
83, 7, 489437, 2, 4
84, 9, 908021, 2, 2
85, 9, 721531, 2, 4
86, 9, 804487, 2, 4
87, 7, 454180, 2, 4
88, 9, 1079051, 2, 2
89, 9, 693990, 2, 4
90, 9, 726842, 2, 4
91, 7, 1007146, 2, 4
92, 9, 1101934, 2, 2
93, 9, 906528, 2, 4
94, 9, 814956, 2, 4
95, 7, 725039, 2, 4
96, 9, 1008710, 2, 2
97, 9, 875500, 2, 4
98, 9, 802343, 2, 4
99, 7, 1022826, 2, 4
100, 9, 993090, 2, 2
101, 9, 887793, 2, 4
102, 9, 832480, 2, 4
103, 7, 703528, 2, 4
104, 9, 829123, 2, 2
105, 9, 658503, 2, 4
106, 9, 771184, 2, 4
107, 7, 634809, 2, 4
108, 9, 965578, 2, 2
109, 9, 622796, 2, 4
110, 9, 517309, 2, 4
111, 7, 532077, 2, 4
112, 9, 960480, 2, 2
113, 9, 692807, 2, 4
114, 9, 663853, 2, 4
115, 7, 491911, 2, 4
116, 9, 960248, 2, 2
117, 9, 928209, 2, 4
118, 9, 623308, 2, 4
119, 7, 507531, 2, 4
180, 9, 998500, 2, 2
181, 9, 846475, 2, 4
182, 9, 649477, 2, 4
183, 7, 556663, 2, 4
184, 9, 875089, 2, 2
185, 9, 994412, 2, 4
186, 9, 1398049, 2, 4
187, 7, 865451, 2, 4
188, 9, 856624, 2, 2
189, 9, 1061208, 2, 4
190, 9, 1305676, 2, 4
191, 7, 2225939, 2, 4
192, 9, 941073, 2, 2
193, 9, 589143, 2, 4
194, 9, 553577, 2, 4
195, 7, 789459, 2, 4
196, 9, 816539, 2, 2
197, 9, 456435, 2, 4
198, 9, 441057, 2, 4
199, 7, 440986, 2, 4
200, 9, 771395, 2, 2
201, 9, 586338, 2, 4
202, 9, 830385, 2, 4
203, 7, 866924, 2, 4
204, 9, 953085, 2, 2
205, 9, 804116, 2, 4
206, 9, 639488, 2, 4
207, 7, 506268, 2, 4
208, 9, 809386, 2, 2
209, 9, 792044, 2, 4
210, 9, 585917, 2, 4
211, 7, 569156, 2, 4
212, 9, 816830, 2, 2
213, 9, 545171, 2, 4
214, 9, 512270, 2, 4
215, 7, 496570, 2, 4
216, 9, 913771, 2, 2
217, 9, 621684, 2, 4
218, 9, 543337, 2, 4
219, 7, 524101, 2, 4
220, 9, 1011986, 2, 2
221, 9, 549920, 2, 4
222, 9, 563285, 2, 4
223, 7, 415318, 2, 4
224, 9, 785782, 2, 2
225, 9, 524302, 2, 4
226, 9, 715700, 2, 4
227, 7, 471232, 2, 4
228, 9, 858287, 2, 2
229, 9, 499776, 2, 4
230, 9, 526255, 2, 4
231, 7, 395110, 2, 4
232, 9, 820657, 2, 2
233, 9, 520976, 2, 4
234, 9, 505847, 2, 4
235, 7, 475150, 2, 4
236, 9, 757669, 2, 2
237, 9, 695723, 2, 4
238, 9, 544019, 2, 4
239, 7, 406181, 2, 4
285, 9, 657161, 2, 2
