VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 6, 278261, 1, 1
61, 6, 174931, 1, 2
62, 6, 140919, 1, 2
63, 4, 146570, 1, 2
64, 6, 162749, 1, 1
65, 6, 125090, 1, 2
66, 6, 116835, 1, 2
67, 4, 106476, 1, 2
68, 6, 169211, 1, 1
69, 6, 125390, 1, 2
70, 6, 119850, 1, 2
71, 4, 107598, 1, 2
72, 6, 162619, 1, 1
73, 6, 128116, 1, 2
74, 6, 119469, 1, 2
75, 4, 127154, 1, 2
76, 6, 177576, 1, 1
77, 6, 224262, 1, 2
78, 6, 149795, 1, 2
79, 4, 187103, 1, 2
80, 6, 165004, 1, 1
81, 6, 117897, 1, 2
82, 6, 126042, 1, 2
83, 4, 103730, 1, 2
84, 6, 133465, 1, 1
85, 6, 112447, 1, 2
86, 6, 112687, 1, 2
87, 4, 158922, 1, 2
88, 6, 179450, 1, 1
89, 6, 138274, 1, 2
90, 6, 134096, 1, 2
91, 4, 164522, 1, 2
92, 6, 239741, 1, 1
93, 6, 138685, 1, 2
94, 6, 140168, 1, 2
95, 4, 136150, 1, 2
96, 6, 240241, 1, 1
97, 6, 130149, 1, 2
98, 6, 131642, 1, 2
99, 4, 118248, 1, 2
100, 6, 149625, 1, 1
101, 6, 118338, 1, 2
102, 6, 124960, 1, 2
103, 4, 106696, 1, 2
104, 6, 151919, 1, 1
105, 6, 119450, 1, 2
106, 6, 135068, 1, 2
107, 4, 117747, 1, 2
108, 6, 189879, 1, 1
109, 6, 183828, 1, 2
110, 6, 212139, 1, 2
111, 4, 128096, 1, 2
112, 6, 160064, 1, 1
113, 6, 120482, 1, 2
114, 6, 119369, 1, 2
115, 4, 133245, 1, 2
116, 6, 250681, 1, 1
117, 6, 173099, 1, 2
118, 6, 133386, 1, 2
119, 4, 116694, 1, 2
180, 6, 181093, 1, 1
181, 6, 157459, 1, 2
182, 6, 133305, 1, 2
183, 4, 118077, 1, 2
184, 6, 192323, 1, 1
185, 6, 137272, 1, 2
186, 6, 126873, 1, 2
187, 4, 115733, 1, 2
188, 6, 210206, 1, 1
189, 6, 152320, 1, 2
190, 6, 229282, 1, 2
191, 4, 127785, 1, 2
192, 6, 226136, 1, 1
193, 6, 155065, 1, 2
194, 6, 170333, 1, 2
195, 4, 127394, 1, 2
196, 6, 232487, 1, 1
197, 6, 148633, 1, 2
198, 6, 145698, 1, 2
199, 4, 175703, 1, 2
200, 6, 270156, 1, 1
201, 6, 143193, 1, 2
202, 6, 138455, 1, 2
203, 4, 132183, 1, 2
204, 6, 297537, 1, 1
205, 6, 195900, 1, 2
206, 6, 190190, 1, 2
207, 4, 180312, 1, 2
208, 6, 219303, 1, 1
209, 6, 151718, 1, 2
210, 6, 131261, 1, 2
211, 4, 121694, 1, 2
212, 6, 267021, 1, 1
213, 6, 152911, 1, 2
214, 6, 141761, 1, 2
215, 4, 142692, 1, 2
216, 6, 188176, 1, 1
217, 6, 135178, 1, 2
218, 6, 126873, 1, 2
219, 4, 111214, 1, 2
220, 6, 218762, 1, 1
221, 6, 193485, 1, 2
222, 6, 152380, 1, 2
223, 4, 148182, 1, 2
224, 6, 310631, 1, 1
225, 6, 171546, 1, 2
226, 6, 183928, 1, 2
227, 4, 132894, 1, 2
228, 6, 237126, 1, 1
229, 6, 144536, 1, 2
230, 6, 137232, 1, 2
231, 4, 128045, 1, 2
232, 6, 210808, 1, 1
233, 6, 144926, 1, 2
234, 6, 138575, 1, 2
235, 4, 121524, 1, 2
236, 6, 217910, 1, 1
237, 6, 152511, 1, 2
238, 6, 170343, 1, 2
239, 4, 187525, 1, 2
285, 6, 166977, 1, 1
286, 6, 139346, 1, 2
287, 6, 188185, 1, 2
288, 6, 166556, 1, 1
289, 6, 126693, 1, 2
290, 6, 125531, 1, 2
291, 6, 173219, 1, 1
292, 6, 125090, 1, 2
293, 6, 125681, 1, 2
294, 6, 199587, 1, 1
295, 6, 134427, 1, 2
296, 6, 119440, 1, 2
297, 6, 185601, 1, 1
298, 6, 129057, 1, 2
299, 6, 118888, 1, 2
300, 6, 152209, 1, 1
301, 6, 115472, 1, 2
302, 6, 115022, 1, 2
303, 6, 173449, 1, 1
304, 6, 131192, 1, 2
305, 6, 132444, 1, 2
306, 6, 224242, 1, 1
307, 6, 173308, 1, 2
308, 6, 134548, 1, 2
309, 6, 177115, 1, 1
310, 6, 120181, 1, 2
311, 6, 116845, 1, 2
312, 6, 163200, 1, 1
313, 6, 121403, 1, 2
314, 6, 122926, 1, 2
315, 6, 177717, 1, 1
316, 6, 120451, 1, 2
317, 6, 117456, 1, 2
318, 6, 163821, 1, 1
319, 6, 228230, 1, 2
320, 6, 189228, 1, 2
321, 6, 294652, 1, 1
322, 6, 198816, 1, 2
323, 6, 155296, 1, 2
324, 6, 255670, 1, 1
325, 6, 140068, 1, 2
326, 6, 145267, 1, 2
327, 6, 272691, 1, 1
328, 6, 214825, 1, 2
329, 6, 139938, 1, 2
375, 6, 164753, 1, 1
376, 6, 144576, 1, 2
377, 6, 121544, 1, 2
378, 6, 177686, 1, 1
379, 6, 131983, 1, 2
380, 6, 129057, 1, 2
381, 6, 380599, 1, 1
382, 6, 172537, 1, 2
383, 6, 143153, 1, 2
384, 6, 162379, 1, 1
385, 6, 137323, 1, 2
386, 6, 123607, 1, 2
387, 6, 179380, 1, 1
388, 6, 129599, 1, 2
389, 6, 116654, 1, 2
390, 6, 145187, 1, 1
391, 6, 119680, 1, 2
392, 6, 113770, 1, 2
393, 6, 148352, 1, 1
394, 6, 119189, 1, 2
395, 6, 116144, 1, 2
396, 6, 240662, 1, 1
397, 6, 147060, 1, 2
398, 6, 128566, 1, 2
399, 6, 210497, 1, 1
400, 6, 146920, 1, 2
401, 6, 137262, 1, 2
402, 6, 203765, 1, 1
403, 6, 133836, 1, 2
404, 6, 145728, 1, 2
405, 6, 193997, 1, 1
406, 6, 128125, 1, 2
407, 6, 123607, 1, 2
408, 6, 214254, 1, 1
409, 6, 137252, 1, 2
410, 6, 138535, 1, 2
411, 6, 169953, 1, 1
412, 6, 128176, 1, 2
413, 6, 118287, 1, 2
414, 6, 166837, 1, 1
415, 6, 138244, 1, 2
416, 6, 118899, 1, 2
417, 6, 197934, 1, 1
418, 6, 131682, 1, 2
419, 6, 123978, 1, 2
480, 6, 160485, 1, 1
481, 6, 123026, 1, 2
482, 6, 115703, 1, 2
483, 26, 162990, 1, 6
484, 6, 152710, 1, 1
485, 6, 123267, 1, 2
486, 6, 111004, 1, 2
487, 26, 157389, 1, 6
488, 6, 180392, 1, 1
489, 6, 125060, 1, 2
490, 6, 136000, 1, 2
491, 26, 176705, 1, 6
492, 6, 150227, 1, 1
493, 6, 118287, 1, 2
494, 6, 106946, 1, 2
495, 26, 351045, 1, 6
496, 6, 343131, 1, 1
497, 6, 190380, 1, 2
498, 6, 143604, 1, 2
499, 26, 159573, 1, 6
500, 6, 153011, 1, 1
501, 6, 131712, 1, 2
502, 6, 111445, 1, 2
503, 26, 199096, 1, 6
504, 6, 197122, 1, 1
505, 6, 127495, 1, 2
506, 6, 120021, 1, 2
507, 26, 174181, 1, 6
508, 6, 164342, 1, 1
509, 6, 111364, 1, 2
510, 6, 101597, 1, 2
511, 26, 143213, 1, 6
512, 6, 131372, 1, 1
513, 6, 106797, 1, 2
514, 6, 98481, 1, 2
515, 26, 142733, 1, 6
516, 6, 122385, 1, 1
517, 6, 101036, 1, 2
518, 6, 99443, 1, 2
519, 26, 137432, 1, 6
520, 6, 116574, 1, 1
521, 6, 102789, 1, 2
522, 6, 96457, 1, 2
523, 26, 160455, 1, 6
524, 6, 123607, 1, 1
525, 6, 126974, 1, 2
526, 6, 123637, 1, 2
527, 26, 270787, 1, 6
528, 6, 161527, 1, 1
529, 6, 120681, 1, 2
530, 6, 108549, 1, 2
531, 26, 150777, 1, 6
532, 6, 139537, 1, 1
533, 6, 113679, 1, 2
534, 6, 103029, 1, 2
535, 26, 144135, 1, 6
536, 6, 126753, 1, 1
537, 6, 106406, 1, 2
538, 6, 104572, 1, 2
539, 26, 153692, 1, 6
570, 6, 120852, 1, 1
571, 6, 114611, 1, 2
572, 6, 138534, 1, 1
573, 6, 109692, 1, 2
574, 6, 151068, 1, 1
575, 6, 124889, 1, 2
576, 6, 147080, 1, 1
577, 6, 133075, 1, 2
578, 6, 150527, 1, 1
579, 6, 112847, 1, 2
580, 6, 196201, 1, 1
581, 6, 162659, 1, 2
582, 6, 174390, 1, 1
583, 6, 118387, 1, 2
584, 6, 127665, 1, 1
585, 6, 106866, 1, 2
586, 6, 122836, 1, 1
587, 6, 105604, 1, 2
588, 6, 118749, 1, 1
589, 6, 103931, 1, 2
590, 6, 124569, 1, 1
591, 6, 105183, 1, 2
592, 6, 124910, 1, 1
593, 6, 104262, 1, 2
594, 6, 126923, 1, 1
595, 6, 110604, 1, 2
596, 6, 120322, 1, 1
597, 6, 103700, 1, 2
598, 6, 121012, 1, 1
599, 6, 130560, 1, 2
630, 6, 128185, 1, 1
631, 6, 119320, 1, 2
632, 6, 188917, 1, 1
633, 6, 163340, 1, 2
634, 6, 161526, 1, 1
635, 6, 136861, 1, 2
636, 6, 231335, 1, 1
637, 6, 128155, 1, 2
638, 6, 161667, 1, 1
639, 6, 125771, 1, 2
640, 6, 225274, 1, 1
641, 6, 129809, 1, 2
642, 6, 252013, 1, 1
643, 6, 168880, 1, 2
644, 6, 150477, 1, 1
645, 6, 117015, 1, 2
646, 6, 271529, 1, 1
647, 6, 173538, 1, 2
648, 6, 164342, 1, 1
649, 6, 126422, 1, 2
650, 6, 144015, 1, 1
651, 6, 114430, 1, 2
652, 6, 139807, 1, 1
653, 6, 113308, 1, 2
654, 6, 124048, 1, 1
655, 6, 110894, 1, 2
656, 6, 176805, 1, 1
657, 6, 129258, 1, 2
658, 6, 135779, 1, 1
659, 6, 108719, 1, 2
