VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
45, 6, 242185, 1, 1
46, 6, 164161, 1, 2
47, 4, 155155, 1, 2
48, 6, 193907, 1, 1
49, 6, 149324, 1, 2
50, 4, 122525, 1, 2
51, 6, 224944, 1, 1
52, 6, 139146, 1, 2
53, 4, 111815, 1, 2
54, 6, 195369, 1, 1
55, 6, 139285, 1, 2
56, 4, 115843, 1, 2
57, 6, 313426, 1, 1
58, 6, 142562, 1, 2
59, 4, 134106, 1, 2
60, 6, 197002, 1, 1
61, 6, 155385, 1, 2
62, 4, 112827, 1, 2
63, 6, 182556, 1, 1
64, 6, 158431, 1, 2
65, 4, 115963, 1, 2
66, 6, 213652, 1, 1
67, 6, 126302, 1, 2
68, 4, 110593, 1, 2
69, 6, 227659, 1, 1
70, 6, 163110, 1, 2
71, 4, 132654, 1, 2
72, 6, 269786, 1, 1
73, 6, 149926, 1, 2
74, 4, 118608, 1, 2
75, 6, 214144, 1, 1
76, 6, 141800, 1, 2
77, 4, 116804, 1, 2
78, 6, 157370, 1, 1
79, 6, 136331, 1, 2
80, 4, 112667, 1, 2
81, 6, 166276, 1, 1
82, 6, 137292, 1, 2
83, 4, 113629, 1, 2
84, 6, 230424, 1, 1
85, 6, 194347, 1, 2
86, 4, 132223, 1, 2
87, 6, 214274, 1, 1
88, 6, 154644, 1, 2
89, 4, 127124, 1, 2
165, 6, 169562, 1, 1
166, 6, 146219, 1, 2
167, 6, 127415, 1, 2
168, 4, 121623, 1, 2
169, 6, 108269, 1, 3
170, 6, 224192, 1, 1
171, 6, 159934, 1, 2
172, 6, 167057, 1, 2
173, 4, 125560, 1, 2
174, 6, 111575, 1, 3
175, 6, 192224, 1, 1
176, 6, 144926, 1, 2
177, 6, 128426, 1, 2
178, 4, 126492, 1, 2
179, 6, 116965, 1, 3
180, 6, 197303, 1, 1
181, 6, 149584, 1, 2
182, 6, 129699, 1, 2
183, 4, 120812, 1, 2
184, 6, 108369, 1, 3
185, 6, 164853, 1, 1
186, 6, 137442, 1, 2
187, 6, 120311, 1, 2
188, 4, 128857, 1, 2
189, 6, 109922, 1, 3
190, 6, 163581, 1, 1
191, 6, 131361, 1, 2
192, 6, 229532, 1, 2
193, 4, 142522, 1, 2
194, 6, 133425, 1, 3
195, 6, 211579, 1, 1
196, 6, 147371, 1, 2
197, 6, 138354, 1, 2
198, 4, 120762, 1, 2
199, 6, 111745, 1, 3
200, 6, 208724, 1, 1
201, 6, 164543, 1, 2
202, 6, 134948, 1, 2
203, 4, 132213, 1, 2
204, 6, 123857, 1, 3
205, 6, 340205, 1, 1
206, 6, 162138, 1, 2
207, 6, 133165, 1, 2
208, 4, 125140, 1, 2
209, 6, 110052, 1, 3
210, 6, 162448, 1, 1
211, 6, 127153, 1, 2
212, 6, 115793, 1, 2
213, 4, 113118, 1, 2
214, 6, 105464, 1, 3
215, 6, 206610, 1, 1
216, 6, 145026, 1, 2
217, 6, 137944, 1, 2
218, 4, 131973, 1, 2
219, 6, 108730, 1, 3
220, 6, 174270, 1, 1
221, 6, 140939, 1, 2
222, 6, 115342, 1, 2
223, 4, 116864, 1, 2
224, 6, 107197, 1, 3
225, 6, 210727, 1, 1
226, 6, 138184, 1, 2
227, 6, 126202, 1, 2
228, 4, 114280, 1, 2
229, 6, 104742, 1, 3
230, 6, 154554, 1, 1
231, 6, 122465, 1, 2
232, 6, 114060, 1, 2
233, 4, 123757, 1, 2
234, 6, 118047, 1, 3
235, 6, 219955, 1, 1
236, 6, 144886, 1, 2
237, 6, 132283, 1, 2
238, 4, 126712, 1, 2
239, 6, 113148, 1, 3
270, 6, 352007, 1, 1
271, 6, 234992, 1, 2
272, 6, 244880, 1, 1
273, 6, 175432, 1, 2
274, 6, 262242, 1, 1
275, 6, 174771, 1, 2
276, 6, 224121, 1, 1
277, 6, 144656, 1, 2
278, 6, 191402, 1, 1
279, 6, 134918, 1, 2
280, 6, 179320, 1, 1
281, 6, 141059, 1, 2
282, 6, 183096, 1, 1
283, 6, 144135, 1, 2
284, 6, 293439, 1, 1
285, 6, 157579, 1, 2
286, 6, 231595, 1, 1
287, 6, 156567, 1, 2
288, 6, 239530, 1, 1
289, 6, 161817, 1, 2
290, 6, 205778, 1, 1
291, 6, 160215, 1, 2
292, 6, 223030, 1, 1
293, 6, 183337, 1, 2
294, 6, 388824, 1, 1
295, 6, 193485, 1, 2
