VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 9, 960208, 2, 2
61, 9, 1512914, 2, 4
62, 9, 1177877, 2, 4
63, 8, 1073511, 2, 4
64, 9, 1234523, 2, 2
65, 9, 799488, 2, 4
66, 9, 728194, 2, 4
67, 8, 982361, 2, 4
68, 9, 928670, 2, 2
69, 9, 810157, 2, 4
70, 9, 803836, 2, 4
71, 8, 1177336, 2, 4
72, 9, 2479515, 2, 2
73, 9, 769742, 2, 4
74, 9, 747600, 2, 4
75, 8, 646442, 2, 4
76, 9, 912369, 2, 2
77, 9, 573975, 2, 4
78, 9, 691466, 2, 4
79, 8, 589004, 2, 4
80, 9, 1221859, 2, 2
81, 9, 664645, 2, 4
82, 9, 615733, 2, 4
83, 8, 446997, 2, 4
84, 9, 830967, 2, 2
85, 9, 801612, 2, 4
86, 9, 638566, 2, 4
87, 8, 443261, 2, 4
88, 9, 961652, 2, 2
89, 9, 682980, 2, 4
90, 9, 902280, 2, 4
91, 8, 751418, 2, 4
92, 9, 903182, 2, 2
93, 9, 769071, 2, 4
94, 9, 715861, 2, 4
95, 8, 700733, 2, 4
96, 9, 851285, 2, 2
97, 9, 602629, 2, 4
98, 9, 562224, 2, 4
99, 8, 492482, 2, 4
100, 9, 1111402, 2, 2
101, 9, 613500, 2, 4
102, 9, 593362, 2, 4
103, 8, 504986, 2, 4
104, 9, 825466, 2, 2
105, 9, 758080, 2, 4
106, 9, 712084, 2, 4
107, 8, 544981, 2, 4
108, 9, 1070606, 2, 2
109, 9, 687267, 2, 4
110, 9, 945421, 2, 4
111, 8, 918732, 2, 4
112, 9, 1228281, 2, 2
113, 9, 1027404, 2, 4
114, 9, 1204106, 2, 4
115, 8, 794728, 2, 4
116, 9, 986569, 2, 2
117, 9, 717905, 2, 4
118, 9, 913321, 2, 4
119, 8, 656289, 2, 4
165, 9, 923280, 2, 2
166, 9, 737942, 2, 4
167, 9, 629539, 2, 4
168, 9, 825026, 2, 2
169, 9, 539160, 2, 4
170, 9, 802192, 2, 4
171, 9, 840504, 2, 2
172, 9, 459231, 2, 4
173, 9, 509435, 2, 4
174, 9, 732312, 2, 2
175, 9, 681727, 2, 4
176, 9, 473106, 2, 4
177, 9, 2217805, 2, 2
178, 9, 421139, 2, 4
179, 9, 385312, 2, 4
180, 9, 4087367, 2, 2
181, 9, 1372020, 2, 4
182, 9, 668813, 2, 4
183, 9, 1014851, 2, 2
184, 9, 510376, 2, 4
185, 9, 497041, 2, 4
186, 9, 749444, 2, 2
187, 9, 454271, 2, 4
188, 9, 505527, 2, 4
189, 9, 737852, 2, 2
190, 9, 522489, 2, 4
191, 9, 561522, 2, 4
192, 9, 915375, 2, 2
193, 9, 653354, 2, 4
194, 9, 737772, 2, 4
195, 9, 940001, 2, 2
196, 9, 595145, 2, 4
197, 9, 552875, 2, 4
198, 9, 844051, 2, 2
199, 9, 526807, 2, 4
200, 9, 479748, 2, 4
201, 9, 691015, 2, 2
202, 9, 577371, 2, 4
203, 9, 533990, 2, 4
204, 9, 764722, 2, 2
205, 9, 480160, 2, 4
206, 9, 564037, 2, 4
207, 9, 735458, 2, 2
208, 9, 520465, 2, 4
209, 9, 546293, 2, 4
270, 9, 656380, 2, 2
271, 9, 388147, 2, 4
272, 9, 510727, 2, 4
273, 8, 406451, 2, 4
274, 9, 672339, 2, 2
275, 9, 475250, 2, 4
276, 9, 424345, 2, 4
277, 8, 494566, 2, 4
278, 9, 822942, 2, 2
279, 9, 773269, 2, 4
280, 9, 2190915, 2, 4
281, 8, 722914, 2, 4
282, 9, 722303, 2, 2
283, 9, 492583, 2, 4
284, 9, 498434, 2, 4
285, 8, 495538, 2, 4
286, 9, 807112, 2, 2
287, 9, 634989, 2, 4
288, 9, 591669, 2, 4
289, 8, 494627, 2, 4
290, 9, 782245, 2, 2
291, 9, 577712, 2, 4
292, 9, 465062, 2, 4
293, 8, 450434, 2, 4
294, 9, 729958, 2, 2
295, 9, 551223, 2, 4
296, 9, 543668, 2, 4
297, 8, 844492, 2, 4
298, 9, 804026, 2, 2
299, 9, 500387, 2, 4
300, 9, 657883, 2, 4
301, 8, 559338, 2, 4
302, 9, 767718, 2, 2
303, 9, 504946, 2, 4
304, 9, 541024, 2, 4
305, 8, 441357, 2, 4
306, 9, 1028938, 2, 2
307, 9, 934861, 2, 4
308, 9, 616125, 2, 4
309, 8, 531546, 2, 4
310, 9, 1184539, 2, 2
311, 9, 808114, 2, 4
312, 9, 670767, 2, 4
