VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
60, 6, 454636, 1, 1
61, 6, 498457, 1, 2
62, 6, 396419, 1, 2
63, 6, 515187, 1, 2
64, 6, 508896, 1, 1
65, 6, 376182, 1, 2
66, 6, 466959, 1, 2
67, 6, 360373, 1, 2
68, 6, 518042, 1, 1
69, 6, 483699, 1, 2
70, 6, 392051, 1, 2
71, 6, 467820, 1, 2
72, 6, 369279, 1, 1
73, 6, 275076, 1, 2
74, 6, 262854, 1, 2
75, 6, 227939, 1, 2
76, 6, 398393, 1, 1
77, 6, 513323, 1, 2
78, 6, 332672, 1, 2
79, 6, 291877, 1, 2
80, 6, 600504, 1, 1
81, 6, 388475, 1, 2
82, 6, 303197, 1, 2
83, 6, 240742, 1, 2
84, 6, 488398, 1, 1
85, 6, 266500, 1, 2
86, 6, 304159, 1, 2
87, 6, 332041, 1, 2
88, 6, 405045, 1, 1
89, 6, 269906, 1, 2
90, 6, 322022, 1, 2
91, 6, 301424, 1, 2
92, 6, 420323, 1, 1
93, 6, 284864, 1, 2
94, 6, 227257, 1, 2
95, 6, 217460, 1, 2
96, 6, 349463, 1, 1
97, 6, 244209, 1, 2
98, 6, 236184, 1, 2
99, 6, 367215, 1, 2
100, 6, 392571, 1, 1
101, 6, 248617, 1, 2
102, 6, 212771, 1, 2
103, 6, 250069, 1, 2
104, 6, 488598, 1, 1
105, 6, 248827, 1, 2
106, 6, 264998, 1, 2
107, 6, 264096, 1, 2
108, 6, 331900, 1, 1
109, 6, 253075, 1, 2
110, 6, 233129, 1, 2
111, 6, 200819, 1, 2
112, 6, 447423, 1, 1
113, 6, 252986, 1, 2
114, 6, 327372, 1, 2
115, 6, 197974, 1, 2
116, 6, 335917, 1, 1
117, 6, 256812, 1, 2
118, 6, 330097, 1, 2
119, 6, 244920, 1, 2
165, 6, 325097, 1, 1
166, 6, 219133, 1, 2
167, 6, 209986, 1, 2
168, 6, 387021, 1, 1
169, 6, 283210, 1, 2
170, 6, 265218, 1, 2
171, 6, 372384, 1, 1
172, 6, 241614, 1, 2
173, 6, 272761, 1, 2
174, 6, 312053, 1, 1
175, 6, 221076, 1, 2
176, 6, 216327, 1, 2
177, 6, 321491, 1, 1
178, 6, 229882, 1, 2
179, 6, 201611, 1, 2
180, 6, 313156, 1, 1
181, 6, 210347, 1, 2
182, 6, 190330, 1, 2
183, 6, 415123, 1, 1
