VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
30, 6, 1695567, 2, 2
31, 41, 4040108, 2, 10
32, 6, 1273642, 2, 2
33, 41, 2147728, 2, 10
34, 6, 1273702, 2, 2
35, 41, 2066429, 2, 10
36, 6, 1035234, 2, 2
37, 41, 2106633, 2, 10
38, 6, 1139074, 2, 2
39, 41, 2299688, 2, 10
40, 6, 1144715, 2, 2
41, 41, 1977576, 2, 10
42, 6, 1450287, 2, 2
43, 41, 2300239, 2, 10
44, 6, 1570758, 2, 2
45, 41, 1721485, 2, 10
46, 6, 1138393, 2, 2
47, 41, 1554188, 2, 10
48, 6, 937173, 2, 2
49, 41, 1540843, 2, 10
50, 6, 887481, 2, 2
51, 41, 1673717, 2, 10
52, 6, 992454, 2, 2
53, 41, 1948001, 2, 10
54, 6, 746462, 2, 2
55, 41, 1407187, 2, 10
56, 6, 1827811, 2, 2
57, 41, 2325576, 2, 10
58, 6, 1227527, 2, 2
59, 41, 5796448, 2, 10
105, 6, 882513, 2, 2
106, 9, 728730, 2, 4
107, 6, 416876, 2, 4
108, 6, 731255, 2, 2
109, 9, 632974, 2, 4
110, 6, 521008, 2, 4
111, 6, 860732, 2, 2
112, 9, 731425, 2, 4
113, 6, 474623, 2, 4
114, 6, 735001, 2, 2
115, 9, 672376, 2, 4
116, 6, 738208, 2, 4
117, 6, 770937, 2, 2
118, 9, 884296, 2, 4
119, 6, 630429, 2, 4
120, 6, 840244, 2, 2
121, 9, 743487, 2, 4
122, 6, 900956, 2, 4
123, 6, 737146, 2, 2
124, 9, 653852, 2, 4
125, 6, 623787, 2, 4
126, 6, 774033, 2, 2
127, 9, 840616, 2, 4
128, 6, 632563, 2, 4
129, 6, 1021177, 2, 2
130, 9, 704435, 2, 4
131, 6, 527109, 2, 4
132, 6, 765968, 2, 2
133, 9, 809027, 2, 4
134, 6, 618567, 2, 4
135, 6, 902219, 2, 2
136, 9, 792597, 2, 4
137, 6, 608869, 2, 4
138, 6, 660394, 2, 2
139, 9, 992184, 2, 4
140, 6, 583984, 2, 4
141, 6, 910564, 2, 2
142, 9, 788880, 2, 4
143, 6, 589995, 2, 4
144, 6, 848490, 2, 2
145, 9, 698344, 2, 4
146, 6, 740481, 2, 4
147, 6, 712631, 2, 2
148, 9, 628525, 2, 4
149, 6, 446631, 2, 4
165, 6, 952471, 2, 2
166, 6, 1483507, 2, 2
167, 6, 663951, 2, 2
168, 6, 954214, 2, 2
169, 6, 705888, 2, 2
170, 6, 1405124, 2, 2
171, 6, 993297, 2, 2
172, 6, 1018502, 2, 2
173, 6, 775035, 2, 2
174, 6, 716428, 2, 2
175, 6, 868237, 2, 2
176, 6, 782739, 2, 2
177, 6, 673769, 2, 2
178, 6, 646659, 2, 2
179, 6, 679169, 2, 2
195, 6, 936191, 2, 2
196, 6, 1324334, 2, 2
197, 6, 905535, 2, 2
198, 6, 727647, 2, 2
199, 6, 790954, 2, 2
200, 6, 777730, 2, 2
201, 6, 967709, 2, 2
202, 6, 839593, 2, 2
203, 6, 739850, 2, 2
204, 6, 776337, 2, 2
205, 6, 694817, 2, 2
206, 6, 721847, 2, 2
207, 6, 806893, 2, 2
208, 6, 796303, 2, 2
209, 6, 698293, 2, 2
255, 6, 1536665, 2, 2
256, 9, 1089583, 2, 4
257, 6, 1002313, 2, 4
258, 6, 684729, 2, 2
259, 9, 767902, 2, 4
260, 6, 644344, 2, 4
261, 6, 652359, 2, 2
262, 9, 695719, 2, 4
263, 6, 622434, 2, 4
264, 6, 631752, 2, 2
265, 9, 675050, 2, 4
266, 6, 603700, 2, 4
267, 6, 737606, 2, 2
268, 9, 676704, 2, 4
269, 6, 640357, 2, 4
270, 6, 760308, 2, 2
271, 9, 930140, 2, 4
272, 6, 863868, 2, 4
273, 6, 767160, 2, 2
274, 9, 740602, 2, 4
