Number, Time, Resource, NoOfElements, Type
60, 239921, file:/tmp/junit-4077209949332056407/example.model2, 1, Save
61, 106631, file:/tmp/junit-4077209949332056407/example.model, 1, Save
62, 832924, file:/tmp/junit-4077209949332056407/example.model2, 5, Save
63, 159519, file:/tmp/junit-4077209949332056407/example.model, 5, Save
64, 173205, file:/tmp/junit-9240099953002512353/example.model, 1, Save
65, 83777, file:/tmp/junit-9240099953002512353/example.model2, 1, Save
66, 288582, file:/tmp/junit-9240099953002512353/example.model, 5, Save
67, 123892, file:/tmp/junit-9240099953002512353/example.model2, 5, Save
68, 211608, file:/tmp/junit-5125822030981900975/example.model2, 1, Save
69, 140994, file:/tmp/junit-5125822030981900975/example.model, 1, Save
70, 285005, file:/tmp/junit-5125822030981900975/example.model2, 5, Save
71, 126378, file:/tmp/junit-5125822030981900975/example.model, 5, Save
72, 186199, file:/tmp/junit-6934510096855532050/example.model, 1, Save
73, 87614, file:/tmp/junit-6934510096855532050/example.model2, 1, Save
74, 328557, file:/tmp/junit-6934510096855532050/example.model, 5, Save
75, 128681, file:/tmp/junit-6934510096855532050/example.model2, 5, Save
76, 168406, file:/tmp/junit-11154008780353389232/example.model, 1, Save
77, 70612, file:/tmp/junit-11154008780353389232/example.model2, 1, Save
78, 284083, file:/tmp/junit-11154008780353389232/example.model, 5, Save
79, 108824, file:/tmp/junit-11154008780353389232/example.model2, 5, Save
80, 174408, file:/tmp/junit-14812963499936493380/example.model, 1, Save
81, 70061, file:/tmp/junit-14812963499936493380/example.model2, 1, Save
82, 364555, file:/tmp/junit-14812963499936493380/example.model, 5, Save
83, 151504, file:/tmp/junit-14812963499936493380/example.model2, 5, Save
84, 179026, file:/tmp/junit-15584588690317418911/example.model, 1, Save
85, 247214, file:/tmp/junit-15584588690317418911/example.model2, 1, Save
86, 338386, file:/tmp/junit-15584588690317418911/example.model, 5, Save
87, 110708, file:/tmp/junit-15584588690317418911/example.model2, 5, Save
88, 176832, file:/tmp/junit-10489738753639446376/example.model, 1, Save
89, 81022, file:/tmp/junit-10489738753639446376/example.model2, 1, Save
90, 283112, file:/tmp/junit-10489738753639446376/example.model, 5, Save
91, 122891, file:/tmp/junit-10489738753639446376/example.model2, 5, Save
92, 176000, file:/tmp/junit-3416947864752564274/example.model2, 1, Save
93, 66875, file:/tmp/junit-3416947864752564274/example.model, 1, Save
94, 278002, file:/tmp/junit-3416947864752564274/example.model2, 5, Save
95, 98164, file:/tmp/junit-3416947864752564274/example.model, 5, Save
96, 135074, file:/tmp/junit-1352690914793184009/example.model, 1, Save
97, 63319, file:/tmp/junit-1352690914793184009/example.model2, 1, Save
98, 171252, file:/tmp/junit-1352690914793184009/example.model, 5, Save
99, 82124, file:/tmp/junit-1352690914793184009/example.model2, 5, Save
100, 129633, file:/tmp/junit-522795078186915283/example.model, 1, Save
101, 61926, file:/tmp/junit-522795078186915283/example.model2, 1, Save
102, 304441, file:/tmp/junit-522795078186915283/example.model, 5, Save
103, 102733, file:/tmp/junit-522795078186915283/example.model2, 5, Save
104, 140814, file:/tmp/junit-14877646698670491718/example.model, 1, Save
105, 62778, file:/tmp/junit-14877646698670491718/example.model2, 1, Save
106, 228629, file:/tmp/junit-14877646698670491718/example.model, 5, Save
107, 81673, file:/tmp/junit-14877646698670491718/example.model2, 5, Save
108, 92273, file:/tmp/junit-13620231026878896778/example.model, 1, Save
109, 64712, file:/tmp/junit-13620231026878896778/example.model2, 1, Save
110, 233338, file:/tmp/junit-13620231026878896778/example.model, 5, Save
111, 82275, file:/tmp/junit-13620231026878896778/example.model2, 5, Save
112, 157726, file:/tmp/junit-11014610376750756795/example.model2, 1, Save
113, 74310, file:/tmp/junit-11014610376750756795/example.model, 1, Save
114, 182583, file:/tmp/junit-11014610376750756795/example.model2, 5, Save
115, 91010, file:/tmp/junit-11014610376750756795/example.model, 5, Save
116, 95199, file:/tmp/junit-18377631655799728042/example.model, 1, Save
117, 57838, file:/tmp/junit-18377631655799728042/example.model2, 1, Save
118, 149551, file:/tmp/junit-18377631655799728042/example.model, 5, Save
119, 75482, file:/tmp/junit-18377631655799728042/example.model2, 5, Save
210, 136536, file:/tmp/junit-13736415165856466621/example.model2, 1, Save
211, 373421, file:/tmp/junit-13736415165856466621/example.model, 1, Save
212, 148900, file:/tmp/junit-13736415165856466621/example.model2, 2, Save
213, 59902, file:/tmp/junit-13736415165856466621/example.model, 2, Save
214, 84790, file:/tmp/junit-13736415165856466621/example.model2, 1, Save
215, 48741, file:/tmp/junit-13736415165856466621/example.model, 1, Save
216, 150844, file:/tmp/junit-15111060036771748724/example.model2, 1, Save
217, 69921, file:/tmp/junit-15111060036771748724/example.model, 1, Save
218, 79690, file:/tmp/junit-15111060036771748724/example.model2, 2, Save
219, 56796, file:/tmp/junit-15111060036771748724/example.model, 2, Save
220, 74300, file:/tmp/junit-15111060036771748724/example.model2, 1, Save
221, 51777, file:/tmp/junit-15111060036771748724/example.model, 1, Save
222, 136136, file:/tmp/junit-998885267216402093/example.model2, 1, Save
223, 65573, file:/tmp/junit-998885267216402093/example.model, 1, Save
224, 133351, file:/tmp/junit-998885267216402093/example.model2, 2, Save
225, 62247, file:/tmp/junit-998885267216402093/example.model, 2, Save
226, 83167, file:/tmp/junit-998885267216402093/example.model2, 1, Save
227, 46227, file:/tmp/junit-998885267216402093/example.model, 1, Save
228, 97543, file:/tmp/junit-2575666193753538055/example.model, 1, Save
229, 50545, file:/tmp/junit-2575666193753538055/example.model2, 1, Save
230, 127650, file:/tmp/junit-2575666193753538055/example.model, 2, Save
231, 56776, file:/tmp/junit-2575666193753538055/example.model2, 2, Save
232, 86423, file:/tmp/junit-2575666193753538055/example.model, 1, Save
233, 47459, file:/tmp/junit-2575666193753538055/example.model2, 1, Save
234, 97804, file:/tmp/junit-7886073311322884141/example.model, 1, Save
235, 53440, file:/tmp/junit-7886073311322884141/example.model2, 1, Save
236, 127470, file:/tmp/junit-7886073311322884141/example.model, 2, Save
237, 83717, file:/tmp/junit-7886073311322884141/example.model2, 2, Save
238, 150292, file:/tmp/junit-7886073311322884141/example.model, 1, Save
239, 51216, file:/tmp/junit-7886073311322884141/example.model2, 1, Save
240, 280637, file:/tmp/junit-9315863752271473085/example.model, 1, Save
241, 59020, file:/tmp/junit-9315863752271473085/example.model2, 1, Save
242, 117771, file:/tmp/junit-9315863752271473085/example.model, 2, Save
243, 54202, file:/tmp/junit-9315863752271473085/example.model2, 2, Save
244, 94467, file:/tmp/junit-9315863752271473085/example.model, 1, Save
245, 45636, file:/tmp/junit-9315863752271473085/example.model2, 1, Save
246, 103334, file:/tmp/junit-7857123038580727839/example.model2, 1, Save
247, 48040, file:/tmp/junit-7857123038580727839/example.model, 1, Save
248, 87474, file:/tmp/junit-7857123038580727839/example.model2, 2, Save
249, 47859, file:/tmp/junit-7857123038580727839/example.model, 2, Save
250, 77485, file:/tmp/junit-7857123038580727839/example.model2, 1, Save
251, 43712, file:/tmp/junit-7857123038580727839/example.model, 1, Save
252, 137569, file:/tmp/junit-12704105923145639982/example.model2, 1, Save
253, 53591, file:/tmp/junit-12704105923145639982/example.model, 1, Save
254, 155752, file:/tmp/junit-12704105923145639982/example.model2, 2, Save
255, 62057, file:/tmp/junit-12704105923145639982/example.model, 2, Save
256, 179166, file:/tmp/junit-12704105923145639982/example.model2, 1, Save
257, 81062, file:/tmp/junit-12704105923145639982/example.model, 1, Save
258, 146245, file:/tmp/junit-10870028560088977125/example.model, 1, Save
259, 164399, file:/tmp/junit-10870028560088977125/example.model2, 1, Save
260, 89238, file:/tmp/junit-10870028560088977125/example.model, 2, Save
261, 43602, file:/tmp/junit-10870028560088977125/example.model2, 2, Save
262, 59262, file:/tmp/junit-10870028560088977125/example.model, 1, Save
263, 46657, file:/tmp/junit-10870028560088977125/example.model2, 1, Save
264, 82996, file:/tmp/junit-12705237441812718923/example.model, 1, Save
265, 50956, file:/tmp/junit-12705237441812718923/example.model2, 1, Save
266, 74249, file:/tmp/junit-12705237441812718923/example.model, 2, Save
267, 39965, file:/tmp/junit-12705237441812718923/example.model2, 2, Save
268, 107883, file:/tmp/junit-12705237441812718923/example.model, 1, Save
269, 37791, file:/tmp/junit-12705237441812718923/example.model2, 1, Save
270, 80401, file:/tmp/junit-14261856396740366902/example.model, 1, Save
271, 48742, file:/tmp/junit-14261856396740366902/example.model2, 1, Save
272, 75823, file:/tmp/junit-14261856396740366902/example.model, 2, Save
273, 40476, file:/tmp/junit-14261856396740366902/example.model2, 2, Save
274, 59101, file:/tmp/junit-14261856396740366902/example.model, 1, Save
275, 36018, file:/tmp/junit-14261856396740366902/example.model2, 1, Save
276, 89568, file:/tmp/junit-7848225415498771231/example.model2, 1, Save
277, 40096, file:/tmp/junit-7848225415498771231/example.model, 1, Save
278, 110057, file:/tmp/junit-7848225415498771231/example.model2, 2, Save
279, 45055, file:/tmp/junit-7848225415498771231/example.model, 2, Save
280, 79900, file:/tmp/junit-7848225415498771231/example.model2, 1, Save
281, 37731, file:/tmp/junit-7848225415498771231/example.model, 1, Save
282, 208632, file:/tmp/junit-5011057575095261927/example.model, 1, Save
283, 50445, file:/tmp/junit-5011057575095261927/example.model2, 1, Save
284, 100409, file:/tmp/junit-5011057575095261927/example.model, 2, Save
