Number, Time, Resource, NoOfElements, Type
30, 266320, file:/tmp/junit-18060139221185340023/example.model, 1, Save
31, 454033, file:/tmp/junit-18060139221185340023/example.model, 5, Save
32, 272101, file:/tmp/junit-14111738595902009459/example.model, 1, Save
33, 315783, file:/tmp/junit-14111738595902009459/example.model, 5, Save
34, 298811, file:/tmp/junit-15654452338348038336/example.model, 1, Save
35, 419437, file:/tmp/junit-15654452338348038336/example.model, 5, Save
36, 267161, file:/tmp/junit-6445762903884424870/example.model, 1, Save
37, 333887, file:/tmp/junit-6445762903884424870/example.model, 5, Save
38, 207520, file:/tmp/junit-18011346897636194713/example.model, 1, Save
39, 371738, file:/tmp/junit-18011346897636194713/example.model, 5, Save
40, 243968, file:/tmp/junit-294936141417412917/example.model, 1, Save
41, 339627, file:/tmp/junit-294936141417412917/example.model, 5, Save
42, 214032, file:/tmp/junit-12785834684873976098/example.model, 1, Save
43, 342012, file:/tmp/junit-12785834684873976098/example.model, 5, Save
44, 256331, file:/tmp/junit-13376040421955853059/example.model, 1, Save
45, 284304, file:/tmp/junit-13376040421955853059/example.model, 5, Save
46, 135114, file:/tmp/junit-6277085235360748604/example.model, 1, Save
47, 203863, file:/tmp/junit-6277085235360748604/example.model, 5, Save
48, 141025, file:/tmp/junit-13513303259416847102/example.model, 1, Save
49, 268273, file:/tmp/junit-13513303259416847102/example.model, 5, Save
50, 153528, file:/tmp/junit-17109989280225670563/example.model, 1, Save
51, 259778, file:/tmp/junit-17109989280225670563/example.model, 5, Save
52, 155732, file:/tmp/junit-14942027563926767399/example.model, 1, Save
53, 269205, file:/tmp/junit-14942027563926767399/example.model, 5, Save
54, 158939, file:/tmp/junit-4824039456313240586/example.model, 1, Save
55, 233058, file:/tmp/junit-4824039456313240586/example.model, 5, Save
56, 151945, file:/tmp/junit-8780086812044660502/example.model, 1, Save
57, 262233, file:/tmp/junit-8780086812044660502/example.model, 5, Save
58, 165390, file:/tmp/junit-15428472583247279633/example.model, 1, Save
59, 264086, file:/tmp/junit-15428472583247279633/example.model, 5, Save
105, 144582, file:/tmp/junit-5260964433786372637/example.model, 1, Save
106, 131717, file:/tmp/junit-5260964433786372637/example.model, 2, Save
107, 105438, file:/tmp/junit-5260964433786372637/example.model, 1, Save
108, 99406, file:/tmp/junit-11134028072698806302/example.model, 1, Save
109, 111049, file:/tmp/junit-11134028072698806302/example.model, 2, Save
110, 96952, file:/tmp/junit-11134028072698806302/example.model, 1, Save
111, 128351, file:/tmp/junit-2539979098553793579/example.model, 1, Save
112, 123141, file:/tmp/junit-2539979098553793579/example.model, 2, Save
113, 84418, file:/tmp/junit-2539979098553793579/example.model, 1, Save
114, 94067, file:/tmp/junit-8359642361295868008/example.model, 1, Save
115, 123151, file:/tmp/junit-8359642361295868008/example.model, 2, Save
116, 76233, file:/tmp/junit-8359642361295868008/example.model, 1, Save
117, 85320, file:/tmp/junit-15966340146991182214/example.model, 1, Save
118, 104957, file:/tmp/junit-15966340146991182214/example.model, 2, Save
119, 78758, file:/tmp/junit-15966340146991182214/example.model, 1, Save
120, 103514, file:/tmp/junit-12588077230024700221/example.model, 1, Save
121, 144180, file:/tmp/junit-12588077230024700221/example.model, 2, Save
122, 114625, file:/tmp/junit-12588077230024700221/example.model, 1, Save
123, 114074, file:/tmp/junit-6473263150865500760/example.model, 1, Save
124, 121468, file:/tmp/junit-6473263150865500760/example.model, 2, Save
125, 76334, file:/tmp/junit-6473263150865500760/example.model, 1, Save
126, 109816, file:/tmp/junit-142429412390166982/example.model, 1, Save
127, 122891, file:/tmp/junit-142429412390166982/example.model, 2, Save
128, 114705, file:/tmp/junit-142429412390166982/example.model, 1, Save
129, 86663, file:/tmp/junit-17634654007740315582/example.model, 1, Save
130, 108704, file:/tmp/junit-17634654007740315582/example.model, 2, Save
131, 94147, file:/tmp/junit-17634654007740315582/example.model, 1, Save
132, 97793, file:/tmp/junit-18428038508102386304/example.model, 1, Save
133, 124885, file:/tmp/junit-18428038508102386304/example.model, 2, Save
134, 93576, file:/tmp/junit-18428038508102386304/example.model, 1, Save
135, 99327, file:/tmp/junit-11247765516038406932/example.model, 1, Save
136, 103895, file:/tmp/junit-11247765516038406932/example.model, 2, Save
137, 80562, file:/tmp/junit-11247765516038406932/example.model, 1, Save
138, 103865, file:/tmp/junit-9886093752424208176/example.model, 1, Save
139, 114845, file:/tmp/junit-9886093752424208176/example.model, 2, Save
140, 88867, file:/tmp/junit-9886093752424208176/example.model, 1, Save
141, 3050919, file:/tmp/junit-15953921719349073295/example.model, 1, Save
142, 131096, file:/tmp/junit-15953921719349073295/example.model, 2, Save
143, 82124, file:/tmp/junit-15953921719349073295/example.model, 1, Save
144, 96070, file:/tmp/junit-3735360806490463390/example.model, 1, Save
145, 101089, file:/tmp/junit-3735360806490463390/example.model, 2, Save
146, 71024, file:/tmp/junit-3735360806490463390/example.model, 1, Save
147, 89908, file:/tmp/junit-14042397959576333956/example.model, 1, Save
148, 93105, file:/tmp/junit-14042397959576333956/example.model, 2, Save
149, 80772, file:/tmp/junit-14042397959576333956/example.model, 1, Save
165, 151995, file:/tmp/junit-7158942519647980298/example.model, 1, Save
166, 127168, file:/tmp/junit-8487879633452326882/example.model, 1, Save
167, 131447, file:/tmp/junit-408094296529591108/example.model, 1, Save
168, 141606, file:/tmp/junit-11998014254801858805/example.model, 1, Save
169, 144251, file:/tmp/junit-13197329595024417691/example.model, 1, Save
170, 97683, file:/tmp/junit-7077788900354950899/example.model, 1, Save
171, 121568, file:/tmp/junit-8077527548115716233/example.model, 1, Save
172, 95449, file:/tmp/junit-306823856695553575/example.model, 1, Save
173, 129443, file:/tmp/junit-202277147244798243/example.model, 1, Save
174, 149691, file:/tmp/junit-7569216176819827981/example.model, 1, Save
175, 100899, file:/tmp/junit-15378413810087267334/example.model, 1, Save
176, 107983, file:/tmp/junit-10062791583227705953/example.model, 1, Save
177, 95259, file:/tmp/junit-18209537944816813151/example.model, 1, Save
178, 136857, file:/tmp/junit-4293856643697117532/example.model, 1, Save
179, 103885, file:/tmp/junit-11579177263986699972/example.model, 1, Save
195, 99647, file:/tmp/junit-12604488889868017866/example.model, 1, Save
196, 93997, file:/tmp/junit-10480071137524818937/example.model, 1, Save
197, 90480, file:/tmp/junit-17093131724800748614/example.model, 1, Save
198, 91482, file:/tmp/junit-11629769597907961994/example.model, 1, Save
199, 79991, file:/tmp/junit-13122030661061283246/example.model, 1, Save
200, 67927, file:/tmp/junit-11433776446842992146/example.model, 1, Save
201, 70743, file:/tmp/junit-998560106112270965/example.model, 1, Save
202, 146715, file:/tmp/junit-7051010211501303933/example.model, 1, Save
203, 87434, file:/tmp/junit-10763333278901944838/example.model, 1, Save
204, 83607, file:/tmp/junit-15787573639184272164/example.model, 1, Save
205, 96992, file:/tmp/junit-9045274101582697599/example.model, 1, Save
206, 113403, file:/tmp/junit-14235664651073397273/example.model, 1, Save
207, 88737, file:/tmp/junit-8295322960435270404/example.model, 1, Save
208, 132689, file:/tmp/junit-8932915107939418607/example.model, 1, Save
209, 121879, file:/tmp/junit-77057804260896654/example.model, 1, Save
255, 239540, file:/tmp/junit-9307177348920218366/example.model, 1, Save
256, 385985, file:/tmp/junit-9307177348920218366/example.model, 2, Save
257, 149120, file:/tmp/junit-9307177348920218366/example.model, 3, Save
258, 100799, file:/tmp/junit-11858964851954192556/example.model, 1, Save
259, 116139, file:/tmp/junit-11858964851954192556/example.model, 2, Save
260, 128211, file:/tmp/junit-11858964851954192556/example.model, 3, Save
261, 102603, file:/tmp/junit-4475398162721261179/example.model, 1, Save
262, 104767, file:/tmp/junit-4475398162721261179/example.model, 2, Save
263, 104466, file:/tmp/junit-4475398162721261179/example.model, 3, Save
264, 126367, file:/tmp/junit-15767487663916927151/example.model, 1, Save
265, 157927, file:/tmp/junit-15767487663916927151/example.model, 2, Save
266, 125987, file:/tmp/junit-15767487663916927151/example.model, 3, Save
267, 72456, file:/tmp/junit-689498041007314494/example.model, 1, Save
