VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
30, 6, 1462997, 2, 2
31, 41, 3748789, 2, 10
32, 6, 1163465, 2, 2
33, 41, 2215810, 2, 10
34, 6, 1962775, 2, 2
35, 41, 1964468, 2, 10
36, 6, 1404988, 2, 2
37, 41, 2246367, 2, 10
38, 6, 1181288, 2, 2
39, 41, 1931166, 2, 10
40, 6, 1221523, 2, 2
41, 41, 3073040, 2, 10
42, 6, 1406481, 2, 2
43, 41, 2570666, 2, 10
44, 6, 1347510, 2, 2
45, 41, 1817352, 2, 10
46, 6, 1093373, 2, 2
47, 41, 2722952, 2, 10
48, 6, 1000098, 2, 2
49, 41, 1523831, 2, 10
50, 6, 1117528, 2, 2
51, 41, 2773177, 2, 10
52, 6, 963960, 2, 2
53, 41, 1438481, 2, 10
54, 6, 767070, 2, 2
55, 41, 1717625, 2, 10
56, 6, 934705, 2, 2
57, 41, 1525334, 2, 10
58, 6, 742815, 2, 2
59, 41, 1442508, 2, 10
105, 6, 1570279, 2, 2
106, 9, 948912, 2, 4
107, 6, 718308, 2, 4
108, 6, 1147094, 2, 2
109, 9, 636846, 2, 4
110, 6, 534264, 2, 4
111, 6, 1179344, 2, 2
112, 9, 918504, 2, 4
113, 6, 737705, 2, 4
114, 6, 747403, 2, 2
115, 9, 715654, 2, 4
116, 6, 728267, 2, 4
117, 6, 746992, 2, 2
118, 9, 1513061, 2, 4
119, 6, 838615, 2, 4
120, 6, 990099, 2, 2
121, 9, 800363, 2, 4
122, 6, 768222, 2, 4
123, 6, 775316, 2, 2
124, 9, 631225, 2, 4
125, 6, 505579, 2, 4
126, 6, 974981, 2, 2
127, 9, 985380, 2, 4
128, 6, 827083, 2, 4
129, 6, 980280, 2, 2
130, 9, 626416, 2, 4
131, 6, 458070, 2, 4
132, 6, 580750, 2, 2
133, 9, 625334, 2, 4
134, 6, 511831, 2, 4
135, 6, 651132, 2, 2
136, 9, 541818, 2, 4
137, 6, 433985, 2, 4
138, 6, 705816, 2, 2
139, 9, 665910, 2, 4
140, 6, 523523, 2, 4
141, 6, 1404587, 2, 2
142, 9, 711135, 2, 4
143, 6, 540023, 2, 4
144, 6, 810441, 2, 2
145, 9, 749197, 2, 4
146, 6, 403307, 2, 4
147, 6, 581051, 2, 2
148, 9, 715394, 2, 4
149, 6, 885503, 2, 4
165, 6, 796265, 2, 2
166, 6, 858011, 2, 2
167, 6, 623881, 2, 2
168, 6, 640613, 2, 2
169, 6, 615415, 2, 2
170, 6, 966625, 2, 2
171, 6, 765698, 2, 2
172, 6, 710153, 2, 2
173, 6, 710584, 2, 2
174, 6, 715964, 2, 2
175, 6, 650711, 2, 2
176, 6, 595297, 2, 2
177, 6, 623350, 2, 2
178, 6, 621407, 2, 2
179, 6, 729029, 2, 2
195, 6, 614624, 2, 2
196, 6, 622869, 2, 2
197, 6, 831331, 2, 2
198, 6, 782469, 2, 2
199, 6, 538070, 2, 2
200, 6, 474561, 2, 2
201, 6, 474460, 2, 2
202, 6, 481825, 2, 2
203, 6, 527931, 2, 2
204, 6, 492214, 2, 2
205, 6, 603253, 2, 2
206, 6, 687571, 2, 2
207, 6, 705625, 2, 2
208, 6, 788220, 2, 2
209, 6, 605146, 2, 2
255, 6, 1368580, 2, 2
256, 9, 1207567, 2, 4
