VitruviusChangeCounter, NoOfEChanges, Time, NoOfAffectedModels, NoOfAffectedElements
30, 4, 994127, 1, 1
31, 28, 1431067, 1, 5
32, 4, 981744, 1, 1
33, 28, 1020736, 1, 5
34, 4, 898527, 1, 1
35, 28, 1122568, 1, 5
36, 4, 1046926, 1, 1
37, 28, 1089376, 1, 5
38, 4, 798199, 1, 1
39, 28, 1120184, 1, 5
40, 4, 950885, 1, 1
41, 28, 1134911, 1, 5
42, 4, 801605, 1, 1
43, 28, 962067, 1, 5
44, 4, 893237, 1, 1
45, 28, 839035, 1, 5
46, 4, 554521, 1, 1
47, 28, 719752, 1, 5
48, 4, 531068, 1, 1
49, 28, 783011, 1, 5
50, 4, 1085939, 1, 1
51, 28, 734559, 1, 5
52, 4, 648538, 1, 1
53, 28, 894540, 1, 5
54, 4, 550805, 1, 1
55, 28, 727847, 1, 5
56, 4, 574829, 1, 1
57, 28, 785444, 1, 5
58, 4, 572195, 1, 1
59, 28, 765167, 1, 5
105, 4, 539994, 1, 1
106, 6, 433804, 1, 2
107, 4, 367060, 1, 2
108, 4, 413967, 1, 1
109, 6, 353634, 1, 2
110, 4, 335280, 1, 2
111, 4, 440707, 1, 1
112, 6, 487426, 1, 2
113, 4, 296878, 1, 2
114, 4, 384111, 1, 1
115, 6, 355608, 1, 2
116, 4, 328978, 1, 2
117, 4, 351741, 1, 1
118, 6, 323758, 1, 2
119, 4, 348855, 1, 2
120, 4, 368071, 1, 1
121, 6, 402666, 1, 2
122, 4, 320351, 1, 2
123, 4, 435227, 1, 1
124, 6, 344336, 1, 2
125, 4, 264136, 1, 2
126, 4, 372219, 1, 1
127, 6, 512933, 1, 2
128, 4, 397587, 1, 2
129, 4, 662614, 1, 1
130, 6, 353353, 1, 2
131, 4, 298441, 1, 2
132, 4, 403859, 1, 1
133, 6, 392337, 1, 2
134, 4, 310103, 1, 2
135, 4, 361208, 1, 1
136, 6, 352182, 1, 2
137, 4, 269526, 1, 2
138, 4, 402205, 1, 1
139, 6, 356660, 1, 2
140, 4, 303299, 1, 2
141, 4, 3656876, 1, 1
142, 6, 409970, 1, 2
143, 4, 315853, 1, 2
144, 4, 358062, 1, 1
145, 6, 332835, 1, 2
146, 4, 244770, 1, 2
147, 4, 319420, 1, 1
148, 6, 305934, 1, 2
149, 4, 285997, 1, 2
165, 4, 575601, 1, 1
166, 4, 479059, 1, 1
167, 4, 431680, 1, 1
168, 4, 443803, 1, 1
169, 4, 477577, 1, 1
170, 4, 343375, 1, 1
171, 4, 376958, 1, 1
172, 4, 336291, 1, 1
173, 4, 461306, 1, 1
174, 4, 484119, 1, 1
175, 4, 349907, 1, 1
176, 4, 359936, 1, 1
177, 4, 345699, 1, 1
178, 4, 483257, 1, 1
179, 4, 514636, 1, 1
195, 4, 529405, 1, 1
196, 4, 319019, 1, 1
197, 4, 323006, 1, 1
198, 4, 340369, 1, 1
199, 4, 311275, 1, 1
200, 4, 246192, 1, 1
201, 4, 258545, 1, 1
202, 4, 532720, 1, 1
203, 4, 337835, 1, 1
204, 4, 301626, 1, 1
205, 4, 319620, 1, 1
206, 4, 375244, 1, 1
207, 4, 332575, 1, 1
208, 4, 487155, 1, 1
209, 4, 477096, 1, 1
255, 4, 1160479, 1, 1
256, 6, 863903, 1, 2
257, 4, 489549, 1, 2
258, 4, 404750, 1, 1
259, 6, 355838, 1, 2
260, 4, 370746, 1, 2
261, 4, 361890, 1, 1
262, 6, 332354, 1, 2
263, 4, 321664, 1, 2
264, 4, 418045, 1, 1
265, 6, 487144, 1, 2
266, 4, 383751, 1, 2
267, 4, 306776, 1, 1
268, 6, 298070, 1, 2
269, 4, 377138, 1, 2
270, 4, 305724, 1, 1
271, 6, 290125, 1, 2
272, 4, 269315, 1, 2
273, 4, 300424, 1, 1
274, 6, 324249, 1, 2
275, 4, 295695, 1, 2
276, 4, 450997, 1, 1
277, 6, 338776, 1, 2
278, 4, 423886, 1, 2
279, 4, 381106, 1, 1
280, 6, 362160, 1, 2
281, 4, 301837, 1, 2
282, 4, 350047, 1, 1
283, 6, 550273, 1, 2
284, 4, 304561, 1, 2
285, 4, 369323, 1, 1
286, 6, 414278, 1, 2
287, 4, 321293, 1, 2
288, 4, 412384, 1, 1
